,municipio,Agencias de viajes,Balnearios,Campos de golf,Empresas arrendadoras de automóviles,Marinas turísticas,Muelles de atraque,Transportadoras turísticas especializadas,año
10,Chimaltitán,0,2,0,0,0,0,0,2014
11,Colotlán,3,3,0,0,0,0,0,2014
12,Huejúcar,2,1,0,0,0,0,0,2014
13,Huejuquilla el Alto,1,1,0,0,0,0,0,2014
14,Mezquitic,1,0,0,0,0,0,0,2014
15,San Martín de Bolaños,0,1,0,0,0,0,0,2014
16,Santa María de los Ángeles,0,1,0,0,0,0,0,2014
17,Totatiche,1,0,0,0,0,0,0,2014
18,Villa Guerrero,1,0,0,0,0,0,0,2014
20,Encarnación de Díaz,6,7,0,0,0,0,0,2014
21,Lagos de Moreno,15,9,1,0,0,0,0,2014
22,San Diego de Alejandría,2,0,0,0,0,0,0,2014
23,San Juan de los Lagos,8,2,0,0,0,0,0,2014
24,Teocaltiche,5,0,0,0,0,0,0,2014
25,Unión de San Antonio,2,1,0,0,0,0,0,2014
26,Villa Hidalgo,1,1,0,0,0,0,0,2014
28,Acatic,3,0,0,0,0,0,0,2014
29,Arandas,11,1,0,0,0,0,0,2014
30,Cañadas de Obregón,1,3,0,0,0,0,0,2014
31,Jalostotitlán,4,1,0,0,0,0,0,2014
32,Jesús María,4,0,0,0,0,0,0,2014
33,Mexticacán,2,1,0,0,0,0,0,2014
34,San Ignacio Cerro Gordo,1,0,0,0,0,0,0,2014
35,San Julián,1,1,0,0,0,0,0,2014
36,San Miguel el Alto,4,0,0,0,0,0,0,2014
37,Tepatitlán de Morelos,22,5,1,0,0,0,1,2014
38,Valle de Guadalupe,3,0,0,0,0,0,0,2014
39,Yahualica de González Gallo,4,1,0,0,0,0,0,2014
41,Atotonilco el Alto,7,4,0,0,0,0,0,2014
42,Ayotlán,3,3,0,0,0,0,0,2014
43,Chapala,4,2,2,2,0,0,40,2014
44,Degollado,5,3,0,0,0,0,0,2014
45,Jamay,3,1,0,0,0,0,11,2014
46,Jocotepec,2,3,0,0,0,0,1,2014
47,La Barca,5,3,0,1,0,0,0,2014
48,Ocotlán,8,2,1,0,0,0,0,2014
49,Poncitlán,6,0,0,0,0,0,32,2014
50,Tizapán el Alto,2,1,0,0,0,0,3,2014
51,Tototlán,3,0,0,0,0,0,0,2014
52,Tuxcueca,0,0,0,0,0,0,1,2014
53,Zapotlán del Rey,1,0,0,0,0,0,1,2014
55,Mazamitla,2,0,0,0,0,0,0,2014
56,Tamazula de Gordiano,4,3,0,0,0,0,0,2014
57,Tecalitlán,2,0,0,0,0,0,0,2014
59,Amacueca,0,1,0,0,0,0,0,2014
60,Sayula,3,2,0,0,0,0,0,2014
61,Tapalpa,1,0,1,0,0,0,0,2014
62,Tuxpan,3,2,0,0,0,0,0,2014
63,Zacoalco de Torres,4,2,0,0,0,0,0,2014
64,Zapotiltic,3,2,0,0,0,0,0,2014
65,Zapotitlán de Vadillo,1,0,0,0,0,0,0,2014
66,Zapotlán el Grande,7,1,0,1,0,0,0,2014
68,Chiquilistlán,0,1,0,0,0,0,0,2014
69,El Grullo,2,0,0,0,0,0,0,2014
70,El Limón,0,2,0,0,0,0,0,2014
71,Juchitlán,1,0,0,0,0,0,0,2014
72,Tecolotlán,3,0,0,0,0,0,0,2014
73,Tonaya,2,0,0,0,0,0,0,2014
74,Unión de Tula,1,0,0,0,0,0,0,2014
76,Autlán de Navarro,3,4,0,0,0,0,0,2014
77,Casimiro Castillo,1,2,0,0,0,0,0,2014
78,Cihuatlán,2,2,1,1,1,0,5,2014
79,La Huerta,0,2,0,0,0,0,0,2014
80,Villa Purificación,0,6,0,0,0,0,0,2014
82,Cabo Corrientes,1,0,0,0,0,1,1,2014
83,Puerto Vallarta,92,2,3,39,1,3,389,2014
84,Tomatlán,0,1,0,0,0,0,0,2014
86,Atenguillo,1,1,0,0,0,0,0,2014
87,Ayutla,1,0,0,0,0,0,0,2014
88,Mascota,2,1,0,0,0,0,3,2014
89,Talpa de Allende,0,3,0,0,0,0,0,2014
91,Ahualulco de Mercado,2,1,0,0,0,0,0,2014
92,Amatitán,0,1,0,0,0,0,0,2014
93,Ameca,3,1,0,0,0,0,0,2014
94,Cocula,2,0,0,0,0,0,0,2014
95,El Arenal,0,2,0,0,0,0,0,2014
96,Etzatlán,2,3,0,0,0,0,0,2014
97,Magdalena,2,0,0,0,0,0,0,2014
98,San Marcos,0,1,0,0,0,0,0,2014
99,San Martín Hidalgo,3,0,0,0,0,0,0,2014
100,Tala,6,9,0,0,0,0,0,2014
101,Tequila,2,3,0,0,0,0,9,2014
102,Teuchitlán,0,5,0,0,0,0,0,2014
104,Acatlán de Juárez,1,1,0,0,0,0,0,2014
105,Cuquío,3,0,0,0,0,0,0,2014
106,El Salto,1,0,0,0,0,0,0,2014
107,Guadalajara,316,2,2,44,0,0,24,2014
108,Ixtlahuacán de los Membrillos,0,2,0,0,0,0,0,2014
109,Ixtlahuacán del Río,3,0,0,0,0,0,1,2014
110,Juanacatlán,1,0,0,0,0,0,0,2014
111,San Pedro Tlaquepaque,22,1,0,0,0,0,4,2014
112,Tlajomulco de Zúñiga,7,3,1,6,0,12,0,2014
113,Tonalá,10,1,0,0,0,0,0,2014
114,Villa Corona,2,5,0,0,0,0,0,2014
115,Zapopan,123,10,3,10,0,0,5,2014
116,Zapotlanejo,6,2,0,0,0,0,0,2014
