,municipio,Agencias de viajes,Balnearios,Campos de golf,Empresas arrendadoras de automóviles,Marinas turísticas,Muelles de atraque,Transportadoras turísticas especializadas,año
8,Acatic,1,0,0,0,0,0,0,2018
9,Acatlán de Juárez,1,1,0,0,0,0,0,2018
10,Ahualulco de Mercado,2,0,0,0,0,0,0,2018
11,Amacueca,0,1,0,0,0,0,0,2018
12,Amatitán,0,0,0,0,0,0,0,2018
13,Ameca,5,1,0,0,0,0,0,2018
14,Arandas,12,0,0,0,0,0,0,2018
15,Atenguillo,1,0,0,0,0,0,0,2018
16,Atotonilco el Alto,8,0,0,0,0,0,0,2018
17,Autlán de Navarro,2,0,0,0,0,0,0,2018
18,Ayotlán,1,1,0,0,0,0,0,2018
19,Ayutla,1,0,0,0,0,0,0,2018
20,Bolaños,0,0,0,0,0,0,0,2018
21,Cabo Corrientes,0,0,0,0,0,1,10,2018
22,Casimiro Castillo,1,2,0,0,0,0,0,2018
23,Chapala,3,0,1,1,0,0,0,2018
24,Chiquilistlán,0,0,0,0,0,0,0,2018
25,Cihuatlán,5,2,0,0,1,0,8,2018
26,Cocula,1,0,0,0,0,0,0,2018
27,Colotlán,2,0,0,0,0,0,0,2018
28,Concepción de Buenos Aires,0,0,0,0,0,0,0,2018
29,Cuautitlán de García Barragán,0,0,0,0,0,0,0,2018
30,Cuquío,2,0,0,0,0,0,0,2018
31,Degollado,1,0,0,0,0,0,0,2018
32,El Arenal,0,0,0,0,0,0,0,2018
33,El Grullo,3,1,0,0,0,0,0,2018
34,El Salto,3,0,1,3,0,0,0,2018
35,Encarnación de Díaz,7,1,0,0,0,0,0,2018
36,Etzatlán,4,1,0,0,0,0,0,2018
37,Gómez Farías,0,0,0,0,0,0,0,2018
38,Guadalajara,361,2,1,57,0,0,7,2018
39,Huejúcar,2,0,0,0,0,0,0,2018
40,Huejuquilla el Alto,0,0,0,0,0,0,0,2018
41,Ixtlahuacán de los Membrillos,0,0,0,0,0,0,0,2018
42,Ixtlahuacán del Río,1,0,0,0,0,0,0,2018
43,Jalostotitlán,7,0,0,0,0,0,0,2018
44,Jamay,2,0,0,0,0,0,0,2018
45,Jesús María,3,0,0,0,0,0,0,2018
46,Jocotepec,3,1,0,0,0,0,0,2018
47,Juanacatlán,0,0,0,0,0,0,0,2018
48,La Barca,5,0,0,1,0,0,0,2018
49,La Huerta,0,1,0,0,0,0,0,2018
50,La Manzanilla de la Paz,0,0,0,0,0,0,0,2018
51,Lagos de Moreno,12,1,0,0,0,0,0,2018
52,Magdalena,0,0,0,0,0,0,0,2018
53,Mascota,1,1,0,0,0,0,2,2018
54,Mazamitla,4,0,0,0,0,0,2,2018
55,Mezquitic,0,0,0,0,0,0,0,2018
56,Ocotlán,7,2,0,0,0,0,1,2018
57,Ojuelos de Jalisco,0,0,0,0,0,0,0,2018
58,Pihuamo,0,1,0,0,0,0,1,2018
59,Poncitlán,3,0,0,0,0,0,0,2018
60,Puerto Vallarta,87,2,2,50,1,3,89,2018
61,Quitupan,0,0,0,0,0,0,0,2018
62,San Diego de Alejandría,0,0,0,0,0,0,0,2018
63,San Gabriel,0,0,0,0,0,0,0,2018
64,San Ignacio Cerro Gordo,3,0,0,0,0,0,0,2018
65,San Juan de los Lagos,6,0,0,1,0,0,0,2018
66,San Juanito de Escobedo,0,2,0,0,0,0,0,2018
67,San Julián,2,0,0,0,0,0,0,2018
68,San Marcos,0,0,0,0,0,0,0,2018
69,San Martín Hidalgo,3,0,0,0,0,0,1,2018
70,San Miguel el Alto,3,0,0,0,0,0,0,2018
71,San Pedro Tlaquepaque,30,0,0,0,0,0,2,2018
72,San Sebastián del Oeste,0,0,0,0,0,0,0,2018
73,Sayula,1,2,0,0,0,0,0,2018
74,Tala,2,1,0,0,0,0,2,2018
75,Talpa de Allende,0,0,0,0,0,0,0,2018
76,Tamazula de Gordiano,3,3,0,0,0,0,0,2018
77,Tapalpa,1,0,0,0,0,0,0,2018
78,Tecalitlán,1,0,0,0,0,0,0,2018
79,Tecolotlán,3,2,0,0,0,0,0,2018
80,Tenamaxtlán,0,0,0,0,0,0,0,2018
81,Teocaltiche,2,0,0,0,0,0,0,2018
82,Teocuitatlán de Corona,0,0,0,0,0,0,0,2018
83,Tepatitlán de Morelos,31,0,0,0,0,0,0,2018
84,Tequila,8,1,0,0,0,0,6,2018
85,Teuchitlán,0,2,0,0,0,0,0,2018
86,Tizapán el Alto,1,0,0,0,0,0,0,2018
87,Tlajomulco de Zúñiga,14,3,2,20,0,12,0,2018
88,Tomatlán,0,0,0,0,0,0,0,2018
89,Tonalá,28,1,0,1,0,0,3,2018
90,Tonaya,1,0,0,0,0,0,0,2018
91,Tonila,0,0,0,0,0,0,0,2018
92,Tototlán,2,0,0,0,0,0,0,2018
93,Tuxpan,2,1,0,0,0,0,1,2018
94,Unión de San Antonio,0,0,0,0,0,0,0,2018
95,Unión de Tula,1,0,0,0,0,0,0,2018
96,Valle de Guadalupe,2,0,0,0,0,0,0,2018
97,Valle de Juárez,1,0,0,0,0,0,0,2018
98,Villa Corona,2,1,0,0,0,0,0,2018
99,Villa Guerrero,1,0,0,0,0,0,0,2018
100,Villa Hidalgo,2,0,0,0,0,0,0,2018
101,Villa Purificación,0,0,0,0,0,0,0,2018
102,Yahualica de González Gallo,3,0,0,0,0,0,0,2018
103,Zacoalco de Torres,1,0,0,0,0,0,0,2018
104,Zapopan,163,4,3,19,0,0,6,2018
105,Zapotiltic,3,0,0,0,0,0,0,2018
106,Zapotlán del Rey,0,0,0,0,0,0,0,2018
107,Zapotlán el Grande,11,0,0,0,0,0,1,2018
108,Zapotlanejo,6,0,0,0,0,0,0,2018
