,municipio,Agencias de viajes,Balnearios,Campos de golf,Empresas arrendadoras de automóviles,Marinas turísticas,Muelles de atraque,Transportadoras turísticas especializadas,año
4,Municipio,[Centros de convenciones],"[Centros de
enseñanza
turística]","[Guías de
turistas]","Agencias de
 viajes y servicios
de reservaciones","Parques
acuáticos y
balnearios","Alquiler de
automóviles
sin chofer","[Campos
de golf]",2020
6,ESTADO,2,56,422,468,97,91,11,2020
7,Acatic,0,0,2,1,1,0,0,2020
8,Acatlán de Juárez,0,0,0,0,1,0,0,2020
9,Ahualulco de Mercado,0,0,1,1,1,0,0,2020
10,Amacueca,0,0,0,0,1,0,0,2020
11,Amatitán,0,0,2,0,3,0,0,2020
12,Ameca,0,0,0,5,1,0,0,2020
13,Arandas,0,0,0,10,0,0,0,2020
14,Atenguillo,0,0,0,1,0,0,0,2020
15,Atotonilco el Alto,0,0,0,7,0,0,0,2020
16,Autlán de Navarro,0,4,0,2,0,0,0,2020
17,Ayotlán,0,0,0,1,1,0,0,2020
18,Ayutla,0,0,0,1,0,0,0,2020
19,Cabo Corrientes,0,0,5,0,0,0,0,2020
20,Casimiro Castillo,0,0,0,1,3,0,0,2020
21,Chapala,0,0,4,2,0,1,1,2020
22,Cihuatlán,0,0,1,3,2,0,0,2020
23,Cocula,0,0,1,0,0,0,0,2020
24,Cuquío,0,0,0,2,0,0,0,2020
25,Degollado,0,0,0,1,0,0,0,2020
26,El Arenal ,0,0,2,0,0,0,0,2020
27,EL GRULLO,0,0,0,1,1,0,0,2020
28,El Limón,0,0,0,0,1,0,0,2020
29,El Salto,0,0,0,3,0,1,0,2020
30,Encarnación de Díaz,0,0,0,6,1,0,0,2020
31,Etzatlán,0,0,1,2,0,0,0,2020
32,Guadalajara,1,13,32,135,2,31,1,2020
33,Huejúcar,0,0,0,1,0,0,0,2020
34,Huejuquilla,0,0,0,0,1,0,0,2020
35,Ixtlahuacán de los Membrillos,0,0,1,0,1,0,0,2020
36,Ixtlahuacán del  Río,0,0,0,1,0,0,0,2020
37,Jalostotitlán,0,0,0,5,0,0,0,2020
38,Jamay,0,0,1,2,0,0,0,2020
39,Jocotepec,0,0,0,3,4,0,0,2020
40,La Barca,0,0,0,4,0,1,0,2020
41,La Manzanilla de la Paz,0,0,0,0,4,0,0,2020
42,Lagos de  Moreno ,0,0,8,8,5,0,0,2020
43,Magdalena,0,0,1,0,0,0,0,2020
44,Mascota,0,1,0,1,1,0,0,2020
45,Mazamitla,0,1,0,1,0,0,0,2020
46,Mexitcacan,0,0,0,0,1,0,0,2020
47,Ocotlán,0,0,1,9,2,0,0,2020
48,Pihuamo,0,0,0,0,1,0,0,2020
49,Poncitlán,0,0,1,0,0,0,0,2020
50,Puerto Vallarta,1,13,210,55,2,36,2,2020
51,San Ignacio Cerro Gordo,0,0,0,3,0,0,0,2020
52,San Juan de los Lagos,0,0,1,6,2,0,0,2020
53,San Juanito de Escobedo,0,0,2,0,2,0,0,2020
54,San Julián,0,0,0,0,1,0,0,2020
55,San Marcos,0,0,2,0,0,0,0,2020
56,San Martín Hidalgo,0,0,0,1,0,0,0,2020
57,San Miguel el Alto,0,0,0,3,0,0,0,2020
58,San Pedro Tlaquepaque,0,0,5,4,0,0,0,2020
59,San  Sebastián del  Oeste,0,0,1,0,0,0,0,2020
60,Sayula,0,0,0,1,4,0,0,2020
61,Tala,0,0,1,2,1,0,0,2020
62,Tamazula de Gordiano,0,0,0,3,1,0,0,2020
63,Tapalpa,0,0,0,1,0,0,0,2020
64,Tecalitlán,0,0,0,1,0,0,0,2020
65,Tecolotlán,0,0,0,3,0,0,0,2020
66,Teocaltiche,0,0,0,2,0,0,0,2020
67,Tepatitlán de Morelos,0,0,2,24,2,0,0,2020
68,Tequila,0,1,74,6,4,0,0,2020
69,Teuchitlán,0,0,11,0,2,0,0,2020
70,Tizapán el Alto,0,0,0,2,4,0,0,2020
71,Tlajomulco de Zúñiga,0,2,2,5,2,2,0,2020
72,Tonalá,0,5,1,7,7,1,0,2020
73,Tonilá,0,0,1,0,0,0,0,2020
74,Tonaya,0,0,0,0,1,0,0,2020
75,Tuxpan,0,0,1,1,2,0,0,2020
76,Valle de Guadalupe,0,0,1,1,0,0,0,2020
77,Villa Corona,0,0,0,2,1,0,0,2020
78,Villa Hidalgo,0,0,0,1,0,0,0,2020
79,Villa Purificación,0,0,0,0,6,0,0,2020
80,Yahualica de González Gallo,0,0,0,3,0,0,0,2020
81,Zacoalco de Torres,0,0,1,1,2,0,0,2020
82,Zapopan,0,16,32,93,12,18,7,2020
83,Zapotiltic,0,0,1,3,0,0,0,2020
84,Zapotlan  del  Rey,0,0,1,0,0,0,0,2020
85,Zapotlán el Grande,0,0,8,9,0,0,0,2020
86,Zapotlanejo,0,0,0,5,0,0,0,2020
