,municipio,Agencias de viajes,Balnearios,Campos de golf,Empresas arrendadoras de automóviles,Marinas turísticas,Muelles de atraque,Transportadoras turísticas especializadas,año
5,Municipio,554,82,96,11,2,53,318,2019
7,Acatic,1,1,0,0,0,0,0,2019
8,Acatlán de Juárez,0,1,0,0,0,0,0,2019
9,Ahualulco de Mercado,1,1,0,0,0,0,1,2019
10,Amacueca,0,1,0,0,0,0,0,2019
11,Amatitán,0,3,0,0,0,0,0,2019
12,Ameca,5,1,0,0,0,0,1,2019
13,Arandas,10,0,0,0,0,0,0,2019
14,Atenguillo,1,0,0,0,0,0,0,2019
15,Atotonilco el Alto,7,0,0,0,0,0,0,2019
16,Autlán de Navarro,2,0,0,0,0,8,0,2019
17,Ayotlán,1,1,0,0,0,0,0,2019
18,Ayutla,1,0,0,0,0,0,0,2019
19,Casimiro Castillo,1,3,0,0,0,0,0,2019
20,Chapala,2,0,1,1,0,0,0,2019
21,Cihuatlán,5,2,0,0,0,0,0,2019
22,Concepción de Buenos Aires,0,0,0,0,0,0,1,2019
23,Cuquío,2,0,0,0,0,0,0,2019
24,Degollado,1,0,0,0,0,0,0,2019
25,El Grullo,1,1,0,0,0,0,0,2019
26,El Salto,3,0,1,0,0,0,0,2019
27,Encarnación de Díaz,6,1,0,0,0,0,0,2019
28,Etzatlán,2,0,0,0,0,0,2,2019
29,Guadalajara,146,2,32,1,1,13,32,2019
30,Huejúcar,1,0,0,0,0,0,0,2019
31,Ixtlahuacán de los Membrillos,0,1,0,0,0,0,0,2019
32,Ixtlahuacán del Río,1,1,0,0,0,0,0,2019
33,Jalostotitlán,5,0,0,0,0,0,0,2019
34,Jamay,2,0,0,0,0,0,0,2019
35,Jilotlán de los Dolores,0,0,0,0,0,0,3,2019
36,Jocotepec,3,4,0,0,0,0,0,2019
37,La Barca,5,0,1,0,0,0,0,2019
38,La    Huerta,0,4,0,0,0,0,0,2019
39,Lagos de Moreno,8,0,0,0,0,0,3,2019
40,Mascota,1,1,0,0,0,1,0,2019
41,Mazamitla,1,0,0,0,0,0,0,2019
42,Ocotlán,9,2,0,0,0,0,1,2019
43,Pihumamo,0,0,0,0,0,0,1,2019
44,Puerto Vallarta,91,2,40,2,1,13,154,2019
45,San Ignacio Cerro Gordo,3,0,0,0,0,0,0,2019
46,San Juan de los Lagos,6,2,0,0,0,0,0,2019
47,San Juanito de Escobedo,0,2,0,0,0,0,0,2019
48,San Julián,1,2,0,0,0,0,0,2019
49,San Martín Hidalgo,1,0,0,0,0,0,0,2019
50,San Miguel el Alto,3,0,0,0,0,0,1,2019
51,San Pedro Tlaquepauqe,5,0,0,0,0,0,30,2019
52,Sayula,1,4,0,0,0,0,0,2019
53,Tala,2,1,0,0,0,0,0,2019
54,Tamazula de Gordiano,3,2,0,0,0,0,0,2019
55,Tapalpa,1,0,0,0,0,0,0,2019
56,Tecalitlán,1,0,0,0,0,0,0,2019
57,Tecolotlán,3,0,0,0,0,0,0,2019
58,Teocaltiche,2,0,0,0,0,0,0,2019
59,Tepatitlán de Morelos,25,4,0,0,0,0,0,2019
60,Tequila,6,4,0,0,0,0,64,2019
61,Teuchitlán,0,2,0,0,0,0,8,2019
62,Tizapán el Alto,1,0,0,0,0,0,0,2019
63,Tlajomulco de Zuñiga,5,2,2,0,0,0,0,2019
64,Tonalá,7,1,1,0,0,0,6,2019
65,Tototlán,0,1,0,0,0,0,0,2019
66,Tuxpan,1,1,0,0,0,0,1,2019
67,Valle de Guadalupe,1,0,0,0,0,0,0,2019
68,Villa Corona,2,1,0,0,0,0,0,2019
69,Villa Hidalgo,1,0,0,0,0,0,0,2019
70,Villa Purificación,0,6,0,0,0,0,0,2019
71,Yahualica de González Gallo,3,0,0,0,0,0,0,2019
72,Zacoalco de Torres,1,2,0,0,0,0,0,2019
73,Zapopan,128,12,18,7,0,18,1,2019
74,Zapotiltic,2,0,0,0,0,0,0,2019
75,Zapotlán del Rey ,0,0,0,0,0,0,0,2019
76,Zapotlán el Grande,9,0,0,0,0,0,8,2019
77,Zapotlanejo,5,0,0,0,0,0,0,2019
