,municipio,Agencias de viajes,Balnearios,Campos de golf,Empresas arrendadoras de automóviles,Marinas turísticas,Muelles de atraque,Transportadoras turísticas especializadas,año
91,Tonila,0,0,0,0,0,0,0,2017
92,Tototlán,2,0,0,0,0,0,0,2017
93,Tuxpan,2,1,0,0,0,0,1,2017
94,Unión de San Antonio,0,0,0,0,0,0,0,2017
95,Unión de Tula,1,0,0,0,0,0,0,2017
96,Valle de Guadalupe,2,0,0,0,0,0,0,2017
97,Valle de Juárez,1,0,0,0,0,0,0,2017
98,Villa Corona,2,1,0,0,0,0,0,2017
99,Villa Guerrero,1,0,0,0,0,0,0,2017
100,Villa Hidalgo,2,0,0,0,0,0,0,2017
101,Villa Purificación,0,0,0,0,0,0,0,2017
102,Yahualica de González Gallo,3,0,0,0,0,0,0,2017
103,Zacoalco de Torres,1,0,0,0,0,0,0,2017
104,Zapopan,163,4,3,19,0,0,6,2017
105,Zapotiltic,3,0,0,0,0,0,0,2017
106,Zapotlán del Rey,0,0,0,0,0,0,0,2017
107,Zapotlán el Grande,11,0,0,0,0,0,1,2017
108,Zapotlanejo,6,0,0,0,0,0,0,2017
