,municipio,Agencias de viajes,Balnearios,Campos de golf,Empresas arrendadoras de automóviles,Marinas turísticas,Muelles de atraque,Transportadoras turísticas especializadas,año
8,Acatic,1,0,0,0,0,0,0,2017
9,Acatlán de Juárez,1,1,0,0,0,0,0,2017
10,Ahualulco de Mercado,2,0,0,0,0,0,0,2017
11,Amacueca,0,1,0,0,0,0,0,2017
12,Amatitán,0,0,0,0,0,0,0,2017
13,Ameca,5,1,0,0,0,0,0,2017
14,Arandas,12,0,0,0,0,0,0,2017
15,Atenguillo,1,0,0,0,0,0,0,2017
16,Atotonilco el Alto,8,0,0,0,0,0,0,2017
17,Autlán de Navarro,2,0,0,0,0,0,0,2017
18,Ayotlán,1,1,0,0,0,0,0,2017
19,Ayutla,1,0,0,0,0,0,0,2017
20,Bolaños,0,0,0,0,0,0,0,2017
21,Cabo Corrientes,0,0,0,0,0,1,10,2017
22,Casimiro Castillo,1,2,0,0,0,0,0,2017
23,Chapala,3,0,1,1,0,0,0,2017
24,Chiquilistlán,0,0,0,0,0,0,0,2017
25,Cihuatlán,5,2,0,0,1,0,8,2017
26,Cocula,1,0,0,0,0,0,0,2017
27,Colotlán,2,0,0,0,0,0,0,2017
28,Concepción de Buenos Aires,0,0,0,0,0,0,0,2017
29,Cuautitlán de García Barragán,0,0,0,0,0,0,0,2017
30,Cuquío,2,0,0,0,0,0,0,2017
31,Degollado,1,0,0,0,0,0,0,2017
32,El Arenal,0,0,0,0,0,0,0,2017
33,El Grullo,3,1,0,0,0,0,0,2017
34,El Salto,3,0,1,3,0,0,0,2017
35,Encarnación de Díaz,7,1,0,0,0,0,0,2017
36,Etzatlán,4,1,0,0,0,0,0,2017
37,Gómez Farías,0,0,0,0,0,0,0,2017
38,Guadalajara,361,2,1,57,0,0,7,2017
39,Huejúcar,2,0,0,0,0,0,0,2017
40,Huejuquilla el Alto,0,0,0,0,0,0,0,2017
41,Ixtlahuacán de los Membrillos,0,0,0,0,0,0,0,2017
42,Ixtlahuacán del Río,1,0,0,0,0,0,0,2017
43,Jalostotitlán,7,0,0,0,0,0,0,2017
44,Jamay,2,0,0,0,0,0,0,2017
45,Jesús María,3,0,0,0,0,0,0,2017
46,Jocotepec,3,1,0,0,0,0,0,2017
47,Juanacatlán,0,0,0,0,0,0,0,2017
48,La Barca,5,0,0,1,0,0,0,2017
49,La Huerta,0,1,0,0,0,0,0,2017
50,La Manzanilla de la Paz,0,0,0,0,0,0,0,2017
51,Lagos de Moreno,12,1,0,0,0,0,0,2017
52,Magdalena,0,0,0,0,0,0,0,2017
53,Mascota,1,1,0,0,0,0,2,2017
54,Mazamitla,4,0,0,0,0,0,2,2017
55,Mezquitic,0,0,0,0,0,0,0,2017
56,Ocotlán,7,2,0,0,0,0,1,2017
57,Ojuelos de Jalisco,0,0,0,0,0,0,0,2017
58,Pihuamo,0,1,0,0,0,0,1,2017
59,Poncitlán,3,0,0,0,0,0,0,2017
60,Puerto Vallarta,87,2,2,50,1,3,89,2017
61,Quitupan,0,0,0,0,0,0,0,2017
62,San Diego de Alejandría,0,0,0,0,0,0,0,2017
63,San Gabriel,0,0,0,0,0,0,0,2017
64,San Ignacio Cerro Gordo,3,0,0,0,0,0,0,2017
65,San Juan de los Lagos,6,0,0,1,0,0,0,2017
66,San Juanito de Escobedo,0,2,0,0,0,0,0,2017
67,San Julián,2,0,0,0,0,0,0,2017
68,San Marcos,0,0,0,0,0,0,0,2017
69,San Martín Hidalgo,3,0,0,0,0,0,1,2017
70,San Miguel el Alto,3,0,0,0,0,0,0,2017
71,San Pedro Tlaquepaque,30,0,0,0,0,0,2,2017
72,San Sebastián del Oeste,0,0,0,0,0,0,0,2017
73,Sayula,1,2,0,0,0,0,0,2017
74,Tala,2,1,0,0,0,0,2,2017
75,Talpa de Allende,0,0,0,0,0,0,0,2017
76,Tamazula de Gordiano,3,3,0,0,0,0,0,2017
77,Tapalpa,1,0,0,0,0,0,0,2017
78,Tecalitlán,1,0,0,0,0,0,0,2017
79,Tecolotlán,3,2,0,0,0,0,0,2017
80,Tenamaxtlán,0,0,0,0,0,0,0,2017
81,Teocaltiche,2,0,0,0,0,0,0,2017
82,Teocuitatlán de Corona,0,0,0,0,0,0,0,2017
83,Tepatitlán de Morelos,31,0,0,0,0,0,0,2017
84,Tequila,8,1,0,0,0,0,6,2017
85,Teuchitlán,0,2,0,0,0,0,0,2017
86,Tizapán el Alto,1,0,0,0,0,0,0,2017
87,Tlajomulco de Zúñiga,14,3,2,20,0,12,0,2017
88,Tomatlán,0,0,0,0,0,0,0,2017
89,Tonalá,28,1,0,1,0,0,3,2017
90,Tonaya,1,0,0,0,0,0,0,2017
