,municipio,Agencias de viajes,Balnearios,Campos de golf,Empresas arrendadoras de automóviles,Marinas turísticas,Muelles de atraque,Transportadoras turísticas especializadas,año
9,Chimaltitán,0,2,0,0,0,0,0,2016
10,Colotlán,3,3,0,0,0,0,0,2016
11,Huejúcar,2,1,0,0,0,0,0,2016
12,Huejuquilla el Alto,1,1,0,0,0,0,0,2016
13,Mezquitic,1,0,0,0,0,0,0,2016
14,San Martín de Bolaños,0,1,0,0,0,0,0,2016
15,Santa María de los Ángeles,0,1,0,0,0,0,0,2016
16,Totatiche,1,0,0,0,0,0,0,2016
17,Villa Guerrero,1,0,0,0,0,0,0,2016
19,Encarnación de Díaz,6,7,0,0,0,0,0,2016
20,Lagos de Moreno,15,9,1,0,0,0,0,2016
21,San Diego de Alejandría,2,0,0,0,0,0,0,2016
22,San Juan de los Lagos,8,2,0,0,0,0,0,2016
23,Teocaltiche,5,0,0,0,0,0,0,2016
24,Unión de San Antonio,2,1,0,0,0,0,0,2016
25,Villa Hidalgo,1,1,0,0,0,0,0,2016
27,Acatic,3,0,0,0,0,0,0,2016
28,Arandas,11,1,0,0,0,0,0,2016
29,Cañadas de Obregón,1,3,0,0,0,0,0,2016
30,Jalostotitlán,4,1,0,0,0,0,0,2016
31,Jesús María,4,0,0,0,0,0,0,2016
32,Mexticacán,2,1,0,0,0,0,0,2016
33,San Ignacio Cerro Gordo,1,0,0,0,0,0,0,2016
34,San Julián,1,1,0,0,0,0,0,2016
35,San Miguel el Alto,4,0,0,0,0,0,0,2016
36,Tepatitlán de Morelos,22,5,1,0,0,0,1,2016
37,Valle de Guadalupe,3,0,0,0,0,0,0,2016
38,Yahualica de González Gallo,4,1,0,0,0,0,0,2016
40,Atotonilco el Alto,7,4,0,0,0,0,0,2016
41,Ayotlán,3,3,0,0,0,0,0,2016
42,Chapala,4,2,2,2,0,0,40,2016
43,Degollado,5,3,0,0,0,0,0,2016
44,Jamay,3,1,0,0,0,0,11,2016
45,Jocotepec,2,3,0,0,0,0,1,2016
46,La Barca,5,3,0,1,0,0,0,2016
47,Ocotlán,8,2,1,0,0,0,0,2016
48,Poncitlán,6,0,0,0,0,0,32,2016
49,Tizapán el Alto,2,1,0,0,0,0,3,2016
50,Tototlán,3,0,0,0,0,0,0,2016
51,Tuxcueca,0,0,0,0,0,0,1,2016
52,Zapotlán del Rey,1,0,0,0,0,0,1,2016
54,Mazamitla,2,0,0,0,0,0,0,2016
55,Tamazula de Gordiano,4,3,0,0,0,0,0,2016
56,Tecalitlán,2,0,0,0,0,0,0,2016
58,Amacueca,0,1,0,0,0,0,0,2016
59,Sayula,3,2,0,0,0,0,0,2016
60,Tapalpa,1,0,1,0,0,0,0,2016
61,Tuxpan,3,2,0,0,0,0,0,2016
62,Zacoalco de Torres,4,2,0,0,0,0,0,2016
63,Zapotiltic,3,2,0,0,0,0,0,2016
64,Zapotitlán de Vadillo,1,0,0,0,0,0,0,2016
65,Zapotlán el Grande,7,1,0,1,0,0,0,2016
67,Chiquilistlán,0,1,0,0,0,0,0,2016
68,El Grullo,2,0,0,0,0,0,0,2016
69,El Limón,0,2,0,0,0,0,0,2016
70,Juchitlán,1,0,0,0,0,0,0,2016
71,Tecolotlán,3,0,0,0,0,0,0,2016
72,Tonaya,2,0,0,0,0,0,0,2016
73,Unión de Tula,1,0,0,0,0,0,0,2016
75,Autlán de Navarro,3,4,0,0,0,0,0,2016
76,Casimiro Castillo,1,2,0,0,0,0,0,2016
77,Cihuatlán,2,2,1,1,1,0,5,2016
78,La Huerta,0,2,0,0,0,0,0,2016
79,Villa Purificación,0,6,0,0,0,0,0,2016
81,Cabo Corrientes,1,0,0,0,0,1,1,2016
82,Puerto Vallarta,92,2,3,39,1,3,389,2016
83,Tomatlán,0,1,0,0,0,0,0,2016
85,Atenguillo,1,1,0,0,0,0,0,2016
86,Ayutla,1,0,0,0,0,0,0,2016
87,Mascota,2,1,0,0,0,0,3,2016
88,Talpa de Allende,0,3,0,0,0,0,0,2016
90,Ahualulco de Mercado,2,1,0,0,0,0,0,2016
91,Amatitán,0,1,0,0,0,0,0,2016
92,Ameca,3,1,0,0,0,0,0,2016
93,Cocula,2,0,0,0,0,0,0,2016
94,El Arenal,0,2,0,0,0,0,0,2016
95,Etzatlán,2,3,0,0,0,0,0,2016
96,Magdalena,2,0,0,0,0,0,0,2016
97,San Marcos,0,1,0,0,0,0,0,2016
98,San Martín Hidalgo,3,0,0,0,0,0,0,2016
99,Tala,6,9,0,0,0,0,0,2016
100,Tequila,2,3,0,0,0,0,9,2016
101,Teuchitlán,0,5,0,0,0,0,0,2016
103,Acatlán de Juárez,1,1,0,0,0,0,0,2016
104,Cuquío,3,0,0,0,0,0,0,2016
105,El Salto,1,0,0,0,0,0,0,2016
106,Guadalajara,316,2,2,44,0,0,24,2016
107,Ixtlahuacán de los Membrillos,0,2,0,0,0,0,0,2016
108,Ixtlahuacán del Río,3,0,0,0,0,0,1,2016
109,Juanacatlán,1,0,0,0,0,0,0,2016
110,San Pedro Tlaquepaque,22,1,0,0,0,0,4,2016
111,Tlajomulco de Zúñiga,7,3,1,6,0,12,0,2016
112,Tonalá,10,1,0,0,0,0,0,2016
113,Villa Corona,2,5,0,0,0,0,0,2016
114,Zapopan,123,10,3,10,0,0,5,2016
115,Zapotlanejo,6,2,0,0,0,0,0,2016
