,municipio,Agencias de viajes,Balnearios,Campos de golf,Empresas arrendadoras de automóviles,Marinas turísticas,Muelles de atraque,Transportadoras turísticas especializadas,año
9,Chimaltitán,0,2,0,0,0,0,0,2015
10,Colotlán,3,3,0,0,0,0,0,2015
11,Huejúcar,2,1,0,0,0,0,0,2015
12,Huejuquilla el Alto,1,1,0,0,0,0,0,2015
13,Mezquitic,1,0,0,0,0,0,0,2015
14,San Martín de Bolaños,0,1,0,0,0,0,0,2015
15,Santa María de los Ángeles,0,1,0,0,0,0,0,2015
16,Totatiche,1,0,0,0,0,0,0,2015
17,Villa Guerrero,1,0,0,0,0,0,0,2015
19,Encarnación de Díaz,6,7,0,0,0,0,0,2015
20,Lagos de Moreno,15,9,1,0,0,0,0,2015
21,San Diego de Alejandría,2,0,0,0,0,0,0,2015
22,San Juan de los Lagos,8,2,0,0,0,0,0,2015
23,Teocaltiche,5,0,0,0,0,0,0,2015
24,Unión de San Antonio,2,1,0,0,0,0,0,2015
25,Villa Hidalgo,1,1,0,0,0,0,0,2015
27,Acatic,3,0,0,0,0,0,0,2015
28,Arandas,11,1,0,0,0,0,0,2015
29,Cañadas de Obregón,1,3,0,0,0,0,0,2015
30,Jalostotitlán,4,1,0,0,0,0,0,2015
31,Jesús María,4,0,0,0,0,0,0,2015
32,Mexticacán,2,1,0,0,0,0,0,2015
33,San Ignacio Cerro Gordo,1,0,0,0,0,0,0,2015
34,San Julián,1,1,0,0,0,0,0,2015
35,San Miguel el Alto,4,0,0,0,0,0,0,2015
36,Tepatitlán de Morelos,22,5,1,0,0,0,1,2015
37,Valle de Guadalupe,3,0,0,0,0,0,0,2015
38,Yahualica de González Gallo,4,1,0,0,0,0,0,2015
40,Atotonilco el Alto,7,4,0,0,0,0,0,2015
41,Ayotlán,3,3,0,0,0,0,0,2015
42,Chapala,4,2,2,2,0,0,40,2015
43,Degollado,5,3,0,0,0,0,0,2015
44,Jamay,3,1,0,0,0,0,11,2015
45,Jocotepec,2,3,0,0,0,0,1,2015
46,La Barca,5,3,0,1,0,0,0,2015
47,Ocotlán,8,2,1,0,0,0,0,2015
48,Poncitlán,6,0,0,0,0,0,32,2015
49,Tizapán el Alto,2,1,0,0,0,0,3,2015
50,Tototlán,3,0,0,0,0,0,0,2015
51,Tuxcueca,0,0,0,0,0,0,1,2015
52,Zapotlán del Rey,1,0,0,0,0,0,1,2015
54,Mazamitla,2,0,0,0,0,0,0,2015
55,Tamazula de Gordiano,4,3,0,0,0,0,0,2015
56,Tecalitlán,2,0,0,0,0,0,0,2015
58,Amacueca,0,1,0,0,0,0,0,2015
59,Sayula,3,2,0,0,0,0,0,2015
60,Tapalpa,1,0,1,0,0,0,0,2015
61,Tuxpan,3,2,0,0,0,0,0,2015
62,Zacoalco de Torres,4,2,0,0,0,0,0,2015
63,Zapotiltic,3,2,0,0,0,0,0,2015
64,Zapotitlán de Vadillo,1,0,0,0,0,0,0,2015
65,Zapotlán el Grande,7,1,0,1,0,0,0,2015
67,Chiquilistlán,0,1,0,0,0,0,0,2015
68,El Grullo,2,0,0,0,0,0,0,2015
69,El Limón,0,2,0,0,0,0,0,2015
70,Juchitlán,1,0,0,0,0,0,0,2015
71,Tecolotlán,3,0,0,0,0,0,0,2015
72,Tonaya,2,0,0,0,0,0,0,2015
73,Unión de Tula,1,0,0,0,0,0,0,2015
75,Autlán de Navarro,3,4,0,0,0,0,0,2015
76,Casimiro Castillo,1,2,0,0,0,0,0,2015
77,Cihuatlán,2,2,1,1,1,0,5,2015
78,La Huerta,0,2,0,0,0,0,0,2015
79,Villa Purificación,0,6,0,0,0,0,0,2015
81,Cabo Corrientes,1,0,0,0,0,1,1,2015
82,Puerto Vallarta,92,2,3,39,1,3,389,2015
83,Tomatlán,0,1,0,0,0,0,0,2015
85,Atenguillo,1,1,0,0,0,0,0,2015
86,Ayutla,1,0,0,0,0,0,0,2015
87,Mascota,2,1,0,0,0,0,3,2015
88,Talpa de Allende,0,3,0,0,0,0,0,2015
90,Ahualulco de Mercado,2,1,0,0,0,0,0,2015
91,Amatitán,0,1,0,0,0,0,0,2015
92,Ameca,3,1,0,0,0,0,0,2015
93,Cocula,2,0,0,0,0,0,0,2015
94,El Arenal,0,2,0,0,0,0,0,2015
95,Etzatlán,2,3,0,0,0,0,0,2015
96,Magdalena,2,0,0,0,0,0,0,2015
97,San Marcos,0,1,0,0,0,0,0,2015
98,San Martín Hidalgo,3,0,0,0,0,0,0,2015
99,Tala,6,9,0,0,0,0,0,2015
100,Tequila,2,3,0,0,0,0,9,2015
101,Teuchitlán,0,5,0,0,0,0,0,2015
103,Acatlán de Juárez,1,1,0,0,0,0,0,2015
104,Cuquío,3,0,0,0,0,0,0,2015
105,El Salto,1,0,0,0,0,0,0,2015
106,Guadalajara,316,2,2,44,0,0,24,2015
107,Ixtlahuacán de los Membrillos,0,2,0,0,0,0,0,2015
108,Ixtlahuacán del Río,3,0,0,0,0,0,1,2015
109,Juanacatlán,1,0,0,0,0,0,0,2015
110,San Pedro Tlaquepaque,22,1,0,0,0,0,4,2015
111,Tlajomulco de Zúñiga,7,3,1,6,0,12,0,2015
112,Tonalá,10,1,0,0,0,0,0,2015
113,Villa Corona,2,5,0,0,0,0,0,2015
114,Zapopan,123,10,3,10,0,0,5,2015
115,Zapotlanejo,6,2,0,0,0,0,0,2015
