municipio,Agencias de viajes,Balnearios,Campos de golf,Empresas arrendadoras de automóviles,Marinas turísticas,Muelles de atraque,Transportadoras turísticas especializadas,año
TOTOTLÁN,2,0,0,0,0,0,0,2017
TUXPAN,2,1,0,0,0,0,1,2017
UNIÓN DE SAN ANTONIO,0,0,0,0,0,0,0,2017
UNIÓN DE TULA,1,0,0,0,0,0,0,2017
VALLE DE GUADALUPE,2,0,0,0,0,0,0,2017
VALLE DE JUÁREZ,1,0,0,0,0,0,0,2017
VILLA CORONA,2,1,0,0,0,0,0,2017
VILLA GUERRERO,1,0,0,0,0,0,0,2017
VILLA HIDALGO,2,0,0,0,0,0,0,2017
VILLA PURIFICACIÓN,0,0,0,0,0,0,0,2017
YAHUALICA DE GONZÁLEZ GALLO,3,0,0,0,0,0,0,2017
ZACOALCO DE TORRES,1,0,0,0,0,0,0,2017
ZAPOPAN,163,4,3,19,0,0,6,2017
ZAPOTILTIC,3,0,0,0,0,0,0,2017
ZAPOTLÁN DEL REY,0,0,0,0,0,0,0,2017
ZAPOTLÁN EL GRANDE,11,0,0,0,0,0,1,2017
ZAPOTLANEJO,6,0,0,0,0,0,0,2017
ACATIC,1,0,0,0,0,0,0,2018
ACATLÁN DE JUÁREZ,1,1,0,0,0,0,0,2018
AHUALULCO DE MERCADO,2,0,0,0,0,0,0,2018
AMACUECA,0,1,0,0,0,0,0,2018
AMATITÁN,0,0,0,0,0,0,0,2018
AMECA,5,1,0,0,0,0,0,2018
ARANDAS,12,0,0,0,0,0,0,2018
ATENGUILLO,1,0,0,0,0,0,0,2018
ATOTONILCO EL ALTO,8,0,0,0,0,0,0,2018
AUTLÁN DE NAVARRO,2,0,0,0,0,0,0,2018
AYOTLÁN,1,1,0,0,0,0,0,2018
AYUTLA,1,0,0,0,0,0,0,2018
BOLAÑOS,0,0,0,0,0,0,0,2018
CABO CORRIENTES,0,0,0,0,0,1,10,2018
CASIMIRO CASTILLO,1,2,0,0,0,0,0,2018
CHAPALA,3,0,1,1,0,0,0,2018
CHIQUILISTLÁN,0,0,0,0,0,0,0,2018
CIHUATLÁN,5,2,0,0,1,0,8,2018
COCULA,1,0,0,0,0,0,0,2018
COLOTLÁN,2,0,0,0,0,0,0,2018
CONCEPCIÓN DE BUENOS AIRES,0,0,0,0,0,0,0,2018
CUAUTITLÁN DE GARCÍA BARRAGÁN,0,0,0,0,0,0,0,2018
CUQUÍO,2,0,0,0,0,0,0,2018
DEGOLLADO,1,0,0,0,0,0,0,2018
EL ARENAL,0,0,0,0,0,0,0,2018
EL GRULLO,3,1,0,0,0,0,0,2018
EL SALTO,3,0,1,3,0,0,0,2018
ENCARNACIÓN DE DÍAZ,7,1,0,0,0,0,0,2018
ETZATLÁN,4,1,0,0,0,0,0,2018
GÓMEZ FARÍAS,0,0,0,0,0,0,0,2018
GUADALAJARA,361,2,1,57,0,0,7,2018
HUEJÚCAR,2,0,0,0,0,0,0,2018
HUEJUQUILLA EL ALTO,0,0,0,0,0,0,0,2018
IXTLAHUACÁN DE LOS MEMBRILLOS,0,0,0,0,0,0,0,2018
IXTLAHUACÁN DEL RÍO,1,0,0,0,0,0,0,2018
JALOSTOTITLÁN,7,0,0,0,0,0,0,2018
JAMAY,2,0,0,0,0,0,0,2018
JESÚS MARÍA,3,0,0,0,0,0,0,2018
JOCOTEPEC,3,1,0,0,0,0,0,2018
JUANACATLÁN,0,0,0,0,0,0,0,2018
LA BARCA,5,0,0,1,0,0,0,2018
LA HUERTA,0,1,0,0,0,0,0,2018
LA MANZANILLA DE LA PAZ,0,0,0,0,0,0,0,2018
LAGOS DE MORENO,12,1,0,0,0,0,0,2018
MAGDALENA,0,0,0,0,0,0,0,2018
MASCOTA,1,1,0,0,0,0,2,2018
MAZAMITLA,4,0,0,0,0,0,2,2018
MEZQUITIC,0,0,0,0,0,0,0,2018
OCOTLÁN,7,2,0,0,0,0,1,2018
OJUELOS DE JALISCO,0,0,0,0,0,0,0,2018
PIHUAMO,0,1,0,0,0,0,1,2018
PONCITLÁN,3,0,0,0,0,0,0,2018
PUERTO VALLARTA,87,2,2,50,1,3,89,2018
QUITUPAN,0,0,0,0,0,0,0,2018
SAN DIEGO DE ALEJANDRÍA,0,0,0,0,0,0,0,2018
SAN GABRIEL,0,0,0,0,0,0,0,2018
SAN IGNACIO CERRO GORDO,3,0,0,0,0,0,0,2018
SAN JUAN DE LOS LAGOS,6,0,0,1,0,0,0,2018
SAN JUANITO DE ESCOBEDO,0,2,0,0,0,0,0,2018
SAN JULIÁN,2,0,0,0,0,0,0,2018
SAN MARCOS,0,0,0,0,0,0,0,2018
SAN MARTÍN HIDALGO,3,0,0,0,0,0,1,2018
SAN MIGUEL EL ALTO,3,0,0,0,0,0,0,2018
SAN PEDRO TLAQUEPAQUE,30,0,0,0,0,0,2,2018
SAN SEBASTIÁN DEL OESTE,0,0,0,0,0,0,0,2018
SAYULA,1,2,0,0,0,0,0,2018
TALA,2,1,0,0,0,0,2,2018
TALPA DE ALLENDE,0,0,0,0,0,0,0,2018
TAMAZULA DE GORDIANO,3,3,0,0,0,0,0,2018
TAPALPA,1,0,0,0,0,0,0,2018
TECALITLÁN,1,0,0,0,0,0,0,2018
TECOLOTLÁN,3,2,0,0,0,0,0,2018
TENAMAXTLÁN,0,0,0,0,0,0,0,2018
TEOCALTICHE,2,0,0,0,0,0,0,2018
TEOCUITATLÁN DE CORONA,0,0,0,0,0,0,0,2018
TEPATITLÁN DE MORELOS,31,0,0,0,0,0,0,2018
TEQUILA,8,1,0,0,0,0,6,2018
TEUCHITLÁN,0,2,0,0,0,0,0,2018
TIZAPÁN EL ALTO,1,0,0,0,0,0,0,2018
TLAJOMULCO DE ZÚÑIGA,14,3,2,20,0,12,0,2018
TOMATLÁN,0,0,0,0,0,0,0,2018
TONALÁ,28,1,0,1,0,0,3,2018
TONAYA,1,0,0,0,0,0,0,2018
TONILA,0,0,0,0,0,0,0,2018
TOTOTLÁN,2,0,0,0,0,0,0,2018
TUXPAN,2,1,0,0,0,0,1,2018
UNIÓN DE SAN ANTONIO,0,0,0,0,0,0,0,2018
UNIÓN DE TULA,1,0,0,0,0,0,0,2018
VALLE DE GUADALUPE,2,0,0,0,0,0,0,2018
VALLE DE JUÁREZ,1,0,0,0,0,0,0,2018
VILLA CORONA,2,1,0,0,0,0,0,2018
VILLA GUERRERO,1,0,0,0,0,0,0,2018
VILLA HIDALGO,2,0,0,0,0,0,0,2018
VILLA PURIFICACIÓN,0,0,0,0,0,0,0,2018
YAHUALICA DE GONZÁLEZ GALLO,3,0,0,0,0,0,0,2018
ZACOALCO DE TORRES,1,0,0,0,0,0,0,2018
ZAPOPAN,163,4,3,19,0,0,6,2018
ZAPOTILTIC,3,0,0,0,0,0,0,2018
ZAPOTLÁN DEL REY,0,0,0,0,0,0,0,2018
ZAPOTLÁN EL GRANDE,11,0,0,0,0,0,1,2018
ZAPOTLANEJO,6,0,0,0,0,0,0,2018
MUNICIPIO,554,82,96,11,2,53,318,2019
ACATIC,1,1,0,0,0,0,0,2019
ACATLÁN DE JUÁREZ,0,1,0,0,0,0,0,2019
AHUALULCO DE MERCADO,1,1,0,0,0,0,1,2019
AMACUECA,0,1,0,0,0,0,0,2019
AMATITÁN,0,3,0,0,0,0,0,2019
AMECA,5,1,0,0,0,0,1,2019
ARANDAS,10,0,0,0,0,0,0,2019
ATENGUILLO,1,0,0,0,0,0,0,2019
ATOTONILCO EL ALTO,7,0,0,0,0,0,0,2019
AUTLÁN DE NAVARRO,2,0,0,0,0,8,0,2019
AYOTLÁN,1,1,0,0,0,0,0,2019
AYUTLA,1,0,0,0,0,0,0,2019
CASIMIRO CASTILLO,1,3,0,0,0,0,0,2019
CHAPALA,2,0,1,1,0,0,0,2019
CIHUATLÁN,5,2,0,0,0,0,0,2019
CONCEPCIÓN DE BUENOS AIRES,0,0,0,0,0,0,1,2019
CUQUÍO,2,0,0,0,0,0,0,2019
DEGOLLADO,1,0,0,0,0,0,0,2019
EL GRULLO,1,1,0,0,0,0,0,2019
EL SALTO,3,0,1,0,0,0,0,2019
ENCARNACIÓN DE DÍAZ,6,1,0,0,0,0,0,2019
ETZATLÁN,2,0,0,0,0,0,2,2019
GUADALAJARA,146,2,32,1,1,13,32,2019
HUEJÚCAR,1,0,0,0,0,0,0,2019
IXTLAHUACÁN DE LOS MEMBRILLOS,0,1,0,0,0,0,0,2019
IXTLAHUACÁN DEL RÍO,1,1,0,0,0,0,0,2019
JALOSTOTITLÁN,5,0,0,0,0,0,0,2019
JAMAY,2,0,0,0,0,0,0,2019
JILOTLÁN DE LOS DOLORES,0,0,0,0,0,0,3,2019
JOCOTEPEC,3,4,0,0,0,0,0,2019
LA BARCA,5,0,1,0,0,0,0,2019
LA    HUERTA,0,4,0,0,0,0,0,2019
LAGOS DE MORENO,8,0,0,0,0,0,3,2019
MASCOTA,1,1,0,0,0,1,0,2019
MAZAMITLA,1,0,0,0,0,0,0,2019
OCOTLÁN,9,2,0,0,0,0,1,2019
PIHUMAMO,0,0,0,0,0,0,1,2019
PUERTO VALLARTA,91,2,40,2,1,13,154,2019
SAN IGNACIO CERRO GORDO,3,0,0,0,0,0,0,2019
SAN JUAN DE LOS LAGOS,6,2,0,0,0,0,0,2019
SAN JUANITO DE ESCOBEDO,0,2,0,0,0,0,0,2019
SAN JULIÁN,1,2,0,0,0,0,0,2019
SAN MARTÍN HIDALGO,1,0,0,0,0,0,0,2019
SAN MIGUEL EL ALTO,3,0,0,0,0,0,1,2019
SAN PEDRO TLAQUEPAUQE,5,0,0,0,0,0,30,2019
SAYULA,1,4,0,0,0,0,0,2019
TALA,2,1,0,0,0,0,0,2019
TAMAZULA DE GORDIANO,3,2,0,0,0,0,0,2019
TAPALPA,1,0,0,0,0,0,0,2019
TECALITLÁN,1,0,0,0,0,0,0,2019
TECOLOTLÁN,3,0,0,0,0,0,0,2019
TEOCALTICHE,2,0,0,0,0,0,0,2019
TEPATITLÁN DE MORELOS,25,4,0,0,0,0,0,2019
TEQUILA,6,4,0,0,0,0,64,2019
TEUCHITLÁN,0,2,0,0,0,0,8,2019
TIZAPÁN EL ALTO,1,0,0,0,0,0,0,2019
TLAJOMULCO DE ZUÑIGA,5,2,2,0,0,0,0,2019
TONALÁ,7,1,1,0,0,0,6,2019
TOTOTLÁN,0,1,0,0,0,0,0,2019
TUXPAN,1,1,0,0,0,0,1,2019
VALLE DE GUADALUPE,1,0,0,0,0,0,0,2019
VILLA CORONA,2,1,0,0,0,0,0,2019
VILLA HIDALGO,1,0,0,0,0,0,0,2019
VILLA PURIFICACIÓN,0,6,0,0,0,0,0,2019
YAHUALICA DE GONZÁLEZ GALLO,3,0,0,0,0,0,0,2019
ZACOALCO DE TORRES,1,2,0,0,0,0,0,2019
ZAPOPAN,128,12,18,7,0,18,1,2019
ZAPOTILTIC,2,0,0,0,0,0,0,2019
ZAPOTLÁN DEL REY ,0,0,0,0,0,0,0,2019
ZAPOTLÁN EL GRANDE,9,0,0,0,0,0,8,2019
ZAPOTLANEJO,5,0,0,0,0,0,0,2019
MUNICIPIO,[Centros de convenciones],"[Centros de
enseñanza
turística]","[Guías de
turistas]","Agencias de
 viajes y servicios
de reservaciones","Parques
acuáticos y
balnearios","Alquiler de
automóviles
sin chofer","[Campos
de golf]",2020
ACATIC,0,0,2,1,1,0,0,2020
ACATLÁN DE JUÁREZ,0,0,0,0,1,0,0,2020
AHUALULCO DE MERCADO,0,0,1,1,1,0,0,2020
AMACUECA,0,0,0,0,1,0,0,2020
AMATITÁN,0,0,2,0,3,0,0,2020
AMECA,0,0,0,5,1,0,0,2020
ARANDAS,0,0,0,10,0,0,0,2020
ATENGUILLO,0,0,0,1,0,0,0,2020
ATOTONILCO EL ALTO,0,0,0,7,0,0,0,2020
AUTLÁN DE NAVARRO,0,4,0,2,0,0,0,2020
AYOTLÁN,0,0,0,1,1,0,0,2020
AYUTLA,0,0,0,1,0,0,0,2020
CABO CORRIENTES,0,0,5,0,0,0,0,2020
CASIMIRO CASTILLO,0,0,0,1,3,0,0,2020
CHAPALA,0,0,4,2,0,1,1,2020
CIHUATLÁN,0,0,1,3,2,0,0,2020
COCULA,0,0,1,0,0,0,0,2020
CUQUÍO,0,0,0,2,0,0,0,2020
DEGOLLADO,0,0,0,1,0,0,0,2020
EL ARENAL ,0,0,2,0,0,0,0,2020
EL GRULLO,0,0,0,1,1,0,0,2020
EL LIMÓN,0,0,0,0,1,0,0,2020
EL SALTO,0,0,0,3,0,1,0,2020
ENCARNACIÓN DE DÍAZ,0,0,0,6,1,0,0,2020
ETZATLÁN,0,0,1,2,0,0,0,2020
GUADALAJARA,1,13,32,135,2,31,1,2020
HUEJÚCAR,0,0,0,1,0,0,0,2020
HUEJUQUILLA,0,0,0,0,1,0,0,2020
IXTLAHUACÁN DE LOS MEMBRILLOS,0,0,1,0,1,0,0,2020
IXTLAHUACÁN DEL  RÍO,0,0,0,1,0,0,0,2020
JALOSTOTITLÁN,0,0,0,5,0,0,0,2020
JAMAY,0,0,1,2,0,0,0,2020
JOCOTEPEC,0,0,0,3,4,0,0,2020
LA BARCA,0,0,0,4,0,1,0,2020
LA MANZANILLA DE LA PAZ,0,0,0,0,4,0,0,2020
LAGOS DE  MORENO ,0,0,8,8,5,0,0,2020
MAGDALENA,0,0,1,0,0,0,0,2020
MASCOTA,0,1,0,1,1,0,0,2020
MAZAMITLA,0,1,0,1,0,0,0,2020
MEXITCACAN,0,0,0,0,1,0,0,2020
OCOTLÁN,0,0,1,9,2,0,0,2020
PIHUAMO,0,0,0,0,1,0,0,2020
PONCITLÁN,0,0,1,0,0,0,0,2020
PUERTO VALLARTA,1,13,210,55,2,36,2,2020
SAN IGNACIO CERRO GORDO,0,0,0,3,0,0,0,2020
SAN JUAN DE LOS LAGOS,0,0,1,6,2,0,0,2020
SAN JUANITO DE ESCOBEDO,0,0,2,0,2,0,0,2020
SAN JULIÁN,0,0,0,0,1,0,0,2020
SAN MARCOS,0,0,2,0,0,0,0,2020
SAN MARTÍN HIDALGO,0,0,0,1,0,0,0,2020
SAN MIGUEL EL ALTO,0,0,0,3,0,0,0,2020
SAN PEDRO TLAQUEPAQUE,0,0,5,4,0,0,0,2020
SAN  SEBASTIÁN DEL  OESTE,0,0,1,0,0,0,0,2020
SAYULA,0,0,0,1,4,0,0,2020
TALA,0,0,1,2,1,0,0,2020
TAMAZULA DE GORDIANO,0,0,0,3,1,0,0,2020
TAPALPA,0,0,0,1,0,0,0,2020
TECALITLÁN,0,0,0,1,0,0,0,2020
TECOLOTLÁN,0,0,0,3,0,0,0,2020
TEOCALTICHE,0,0,0,2,0,0,0,2020
TEPATITLÁN DE MORELOS,0,0,2,24,2,0,0,2020
TEQUILA,0,1,74,6,4,0,0,2020
TEUCHITLÁN,0,0,11,0,2,0,0,2020
TIZAPÁN EL ALTO,0,0,0,2,4,0,0,2020
TLAJOMULCO DE ZÚÑIGA,0,2,2,5,2,2,0,2020
TONALÁ,0,5,1,7,7,1,0,2020
TONILÁ,0,0,1,0,0,0,0,2020
TONAYA,0,0,0,0,1,0,0,2020
TUXPAN,0,0,1,1,2,0,0,2020
VALLE DE GUADALUPE,0,0,1,1,0,0,0,2020
VILLA CORONA,0,0,0,2,1,0,0,2020
VILLA HIDALGO,0,0,0,1,0,0,0,2020
VILLA PURIFICACIÓN,0,0,0,0,6,0,0,2020
YAHUALICA DE GONZÁLEZ GALLO,0,0,0,3,0,0,0,2020
ZACOALCO DE TORRES,0,0,1,1,2,0,0,2020
ZAPOPAN,0,16,32,93,12,18,7,2020
ZAPOTILTIC,0,0,1,3,0,0,0,2020
ZAPOTLAN  DEL  REY,0,0,1,0,0,0,0,2020
ZAPOTLÁN EL GRANDE,0,0,8,9,0,0,0,2020
ZAPOTLANEJO,0,0,0,5,0,0,0,2020
