,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
9,Bolaños,43,0,0,25,10,8,0,2016
10,Chimaltitán,34,0,0,0,9,0,25,2016
11,Colotlán,162,0,62,38,0,47,15,2016
12,Huejúcar,42,0,0,0,0,42,0,2016
13,Huejuquilla el Alto,68,0,0,60,8,0,0,2016
14,Mezquitic,41,0,10,0,19,0,12,2016
15,San Martín de Bolaños,22,0,0,0,12,10,0,2016
16,Totatiche,120,0,0,0,114,6,0,2016
17,Villa Guerrero,17,0,0,0,17,0,0,2016
19,Encarnación de Díaz,111,0,75,20,16,0,0,2016
20,Lagos de Moreno,799,157,139,154,93,0,256,2016
21,Ojuelos de Jalisco,158,0,0,0,0,0,158,2016
22,San Diego de Alejandría,45,0,0,19,0,0,26,2016
23,San Juan de los Lagos,3708,539,435,871,799,975,89,2016
24,Teocaltiche,99,0,55,0,44,0,0,2016
25,Unión de San Antonio,28,0,0,0,0,0,28,2016
26,Villa Hidalgo,280,0,0,0,0,0,280,2016
28,Acatic,85,0,0,7,0,12,66,2016
29,Arandas,383,14,60,30,97,182,0,2016
30,Cañadas de Obregón,40,0,0,0,0,0,40,2016
31,Jalostotitlán,151,50,27,54,0,20,0,2016
32,Jesús María,12,0,0,0,0,0,12,2016
33,Mexticacán,10,0,0,0,0,0,10,2016
34,San Ignacio Cerro Gordo,114,0,0,0,0,0,114,2016
35,San Julián,202,0,69,133,0,0,0,2016
36,San Miguel el Alto,169,0,104,35,0,30,0,2016
37,Tepatitlán de Morelos,469,13,244,66,0,0,146,2016
38,Valle de Guadalupe,50,0,0,0,0,0,50,2016
39,Yahualica de González Gallo,111,11,36,24,40,0,0,2016
41,Atotonilco el Alto,158,0,30,41,0,0,87,2016
42,Ayotlán,44,0,0,44,0,0,0,2016
43,Chapala,741,115,275,112,108,72,59,2016
44,Degollado,47,0,12,35,0,0,0,2016
45,Jamay,78,0,0,0,15,26,37,2016
46,Jocotepec,380,99,67,67,14,37,96,2016
47,La Barca,356,0,0,125,53,109,69,2016
48,Ocotlán,444,0,96,25,0,81,242,2016
49,Poncitlán,95,0,0,4,0,73,18,2016
50,Tizapán el Alto,24,0,0,0,0,8,16,2016
51,Tototlán,17,0,0,0,0,0,17,2016
