,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
4,Municipio,Total,"Cinco
estrellas *","Cuatro
estrellas","Tres 
estrellas","Dos
estrellas","Una
estrella","[Sin 
categoría **]",2020
7,Estado,78533,14336,18654,12614,5309,5527,22093,2020
8,ACATIC,86,0,0,10,0,12,64,2020
9,ACATLAN DE JUAREZ,14,0,0,14,0,0,0,2020
10,AHUALULCO DE MERCADO,138,29,42,0,0,0,67,2020
11,AMACUECA,8,0,0,0,0,0,8,2020
13,AMECA,173,0,65,52,28,28,0,2020
14,ARANDAS,451,14,60,30,47,177,123,2020
15,ATEMAJAC DE BRIZUELA,108,42,13,8,41,4,0,2020
16,ATENGO,12,0,0,0,0,0,12,2020
17,ATENGUILLO,55,0,0,0,6,0,49,2020
18,ATOTONILCO EL ALTO,182,0,25,41,0,0,116,2020
19,ATOYAC,32,12,0,0,16,4,0,2020
20,AUTLÁN DE NAVARRO,399,0,32,174,131,62,0,2020
21,AYOTLÁN,44,0,0,44,0,0,0,2020
22,AYUTLA,74,0,0,0,0,0,74,2020
23,BOLAÑOS,43,0,0,25,10,8,0,2020
24,CABO CORRIENTES,183,20,29,90,16,0,28,2020
25,CAÑADAS DE OBREGÓN,43,33,10,0,0,0,0,2020
26,CASIMIRO CASTILLO,66,0,0,34,32,0,0,2020
27,CHAPALA,926,159,451,109,118,89,0,2020
28,CHIMALTITÁN,34,0,25,0,9,0,0,2020
29,CHIQUILISTLÁN,20,0,0,0,0,0,20,2020
30,CIHUATLAN,2563,329,501,887,385,257,204,2020
31,COCULA,161,0,18,0,0,0,143,2020
33,CONCEPCIÓN DE BUENOS AIRES,76,76,0,0,0,0,0,2020
34,CUAUTITLÁN DE GARCÍA BARRAGÁN,28,0,0,0,0,28,0,2020
35,CUAUTLA,29,0,0,0,20,0,9,2020
36,CUQUIO,61,0,61,0,0,0,0,2020
37,DEGOLLADO,47,0,12,35,0,0,0,2020
38,EL ARENAL,66,0,0,0,0,0,66,2020
39,EL GRULLO ,141,0,60,54,10,17,N/D,2020
40,EL SALTO,530,0,422,108,0,0,N/D,2020
41,ENCARNACIÓN DE DÍAZ,109,0,75,16,18,0,0,2020
42,ETZATLAN,97,11,0,0,0,0,86,2020
43,GÓMEZ FARIAS,44,0,0,0,0,0,44,2020
44,GUACHINANGO,47,0,0,0,0,0,47,2020
45,GUADALAJARA,15409,3060,5539,2927,1146,2273,464,2020
46,HOSTOTIPAQUILLO,7,0,0,0,0,0,7,2020
47,HUEJÚCAR,42,0,0,0,0,42,0,2020
48,HUEJUQUILLA EL ALTO,68,0,0,60,8,0,0,2020
49,IXTLAHUACÁN DE LOS MEMBRILLOS,58,0,0,58,0,0,0,2020
50,IXTLAHUACÁN DEL RÍO,222,0,0,0,0,0,222,2020
51,JALOSTOTITLÁN,170,50,27,54,0,20,19,2020
53,JESUS MARIA,51,0,0,0,0,0,51,2020
54,JILOTLAN DE LOS DOLORES,6,0,0,0,0,0,6,2020
55,JOCOTEPEC,512,111,94,68,14,44,181,2020
56,JUCHITLÁN,6,0,0,0,6,0,0,2020
57,LA BARCA,350,0,16,131,25,109,69,2020
58,LA HUERTA,1558,72,922,152,412,N/D,ND,2020
59,LA MANZANILLA DE LA PAZ,184,19,90,22,0,15,38,2020
60,LAGOS DE MORENO,856,150,143,203,93,0,267,2020
61,MAGDALENA,133,0,0,0,0,0,133,2020
62,MASCOTA,414,51,78,143,98,42,2,2020
63,MAZAMITLA,2818,28,139,83,0,0,2568,2020
64,MEXTICACAN,14,0,0,0,0,0,14,2020
65,Mezquitic,52,0,0,0,20,0,32,2020
66,MIXTLAN,51,0,0,0,0,0,51,2020
67,OCOTLÁN,377,0,143,109,0,0,125,2020
68,OJUELOS,216,0,0,0,0,18,198,2020
69,PIHUAMO,34,0,0,0,0,0,34,2020
70,PONCITLÁN,95,0,0,4,0,73,18,2020
71,PUERTO VALLARTA,25582,7534,4525,1873,684,412,10554,2020
72,QUITUPAN,16,0,0,0,0,0,16,2020
73,SAN DIEGO DE ALEJANDRIA,45,0,0,19,0,12,14,2020
74,SAN GABRIEL,244,0,0,0,0,0,244,2020
75,SAN IGNACIO CERRO GORDO,114,0,0,0,62,0,52,2020
76,SAN JUAN DE LOS LAGOS,3790,160,517,741,953,977,442,2020
77,SAN JUANITO DE ESCOBEDO,4,0,0,0,0,0,4,2020
78,SAN JULIAN,277,0,69,188,0,0,20,2020
79,SAN MARCOS,21,0,0,0,0,0,21,2020
80,SAN MARTÍN DE BOLAÑOS,22,0,0,0,12,10,0,2020
81,SAN MARTIN HIDALGO,80,0,0,40,40,0,0,2020
82,SAN MIGUEL EL ALTO,150,0,81,32,0,37,0,2020
83,SAN SEBASTIÁN DEL OESTE,431,66,15,300,12,8,30,2020
84,SANTA MARIA DEL ORO,11,0,0,0,0,0,11,2020
85,SAYULA,144,51,66,0,27,0,0,2020
86,TALA,136,0,13,0,0,0,123,2020
87,TALPA DE ALLENDE,1581,0,0,0,0,0,1581,2020
88,TAMAZULA DE GORDIANO,113,0,32,24,0,0,57,2020
89,TAPALPA,1155,95,0,0,0,0,1060,2020
90,TECALITLAN,79,0,0,20,0,0,59,2020
91,TECOLOTLÁN,70,0,0,0,12,58,0,2020
92,TENAMAXTLAN,28,0,0,0,0,0,28,2020
93,TEOCALTICHE,99,0,55,0,44,0,0,2020
94,TEOCUITATLAN DE CORONA,6,0,0,0,0,0,6,2020
95,TEPATITLÁN DE MORELOS,670,46,271,56,0,0,297,2020
96,TEQUILA,578,158,187,95,83,35,20,2020
97,TEUCHITLAN,60,0,0,10,0,0,50,2020
98,TIZAPÁN EL ALTO,110,0,0,0,0,110,0,2020
99,TLAJOMULCO,346,14,135,139,0,0,58,2020
100,TLAQUEPAQUE,1313,297,317,619,0,0,80,2020
101,TOLIMÁN ,16,0,0,0,0,0,16,2020
102,TOMATLAN,163,0,50,45,47,11,10,2020
103,TONALA,594,18,0,350,31,0,195,2020
104,TONAYA,39,0,0,0,39,0,0,2020
105,TOTATICHE,120,0,0,0,109,11,0,2020
106,TOTOTLÁN,33,0,0,0,0,0,33,2020
107,TUXCUECA,21,0,0,0,0,21,N/D,2020
108,TUXPAN,86,0,0,13,0,18,55,2020
109,UNION DE SAN ANTONIO,89,0,0,0,0,0,89,2020
110,UNION DE TULA,98,0,19,26,0,0,53,2020
111,VALLE DE GUADALUPE,25,0,0,0,0,0,25,2020
112,VALLE DE JUAREZ,58,0,0,0,0,0,58,2020
113,VILLA CORONA,107,0,0,0,0,0,107,2020
114,VILLA GUERRERO,17,0,0,0,17,0,0,2020
115,VILLA HIDALGO,372,0,18,39,28,72,215,2020
116,VILLA PURIFICACIÓN,65,0,36,0,6,10,13,2020
117,YAHUALICA DE GONZÁLEZ GALLO,142,11,42,24,40,0,25,2020
118,ZACOALCO DE TORRES,127,0,15,12,0,100,0,2020
119,ZAPOPAN,7097,1607,2856,1673,277,107,577,2020
120,ZAPOTILTIC,54,0,18,0,0,0,36,2020
121,ZAPOTITLAN DE VADILLO,20,0,0,0,0,0,20,2020
122,ZAPOTLAN DEL REY,28,13,0,15,0,0,0,2020
123,ZAPOTLAN EL GRANDE,537,0,137,239,60,101,0,2020
124,ZAPOTLANEJO,211,0,18,176,17,0,N/D,2020
