,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
10,Bolaños,28,0,0,0,0,8,20,2014
11,Chimaltitán,8,0,0,0,0,0,8,2014
12,Colotlán,138,0,62,0,0,76,0,2014
13,Huejúcar,41,0,0,0,0,41,0,2014
14,Huejuquilla el Alto,77,0,0,60,0,0,17,2014
15,Mezquitic,52,0,21,0,9,0,22,2014
16,San Martín de Bolaños,22,0,0,0,0,10,12,2014
17,Totatiche,119,0,0,0,0,5,114,2014
18,Villa Guerrero,18,0,0,0,0,0,18,2014
20,Encarnación de Díaz,162,0,9,82,71,0,0,2014
21,Lagos de Moreno,803,147,108,162,280,26,80,2014
22,Ojuelos de Jalisco,132,9,0,0,0,18,105,2014
23,San Diego de Alejandría,123,0,0,6,0,92,25,2014
24,San Juan de los Lagos,3787,210,560,776,681,1258,302,2014
25,Teocaltiche,70,0,0,0,44,16,10,2014
26,Unión de San Antonio,40,0,0,20,0,20,0,2014
27,Villa Hidalgo,322,0,24,27,28,74,169,2014
29,Acatic,79,0,0,0,53,10,16,2014
30,Arandas,328,23,37,122,116,30,0,2014
31,Cañadas de Obregón,14,0,0,0,0,0,14,2014
32,Jalostotitlán,129,0,0,32,38,40,19,2014
33,Jesús María,36,0,0,0,0,0,36,2014
34,Mexticacán,10,0,0,0,0,10,0,2014
35,San Ignacio Cerro Gordo,6,0,6,0,0,0,0,2014
36,San Julián,93,45,48,0,0,0,0,2014
37,San Miguel el Alto,94,0,62,0,0,0,32,2014
38,Tepatitlán de Morelos,545,0,295,163,48,0,39,2014
39,Valle de Guadalupe,25,0,0,0,0,0,25,2014
40,Yahualica de González Gallo,112,0,0,24,18,45,25,2014
42,Atotonilco el Alto,144,30,19,0,44,18,33,2014
43,Ayotlán,78,0,0,42,33,0,3,2014
44,Chapala,692,95,218,94,41,55,189,2014
45,Degollado,39,0,0,0,0,39,0,2014
46,Jamay,87,0,0,0,15,18,54,2014
47,Jocotepec,344,69,23,32,50,23,147,2014
48,La Barca,368,0,0,89,49,123,107,2014
49,Ocotlán,356,0,72,107,0,42,135,2014
50,Poncitlán,77,0,0,0,0,59,18,2014
51,Tizapán el Alto,25,0,0,0,0,8,17,2014
52,Tototlán,25,0,0,0,0,0,25,2014
53,Tuxcueca,22,0,0,5,0,0,17,2014
54,Zapotlán del Rey,20,5,0,0,0,0,15,2014
56,Concepción de Buenos Aires,140,0,0,0,0,0,140,2014
57,La Manzanilla de la Paz,85,0,10,26,9,15,25,2014
58,Mazamitla,558,39,119,106,30,53,211,2014
59,Pihuamo,14,0,0,14,0,0,0,2014
60,Quitupan,16,0,0,16,0,0,0,2014
61,Santa María del Oro,70,0,0,0,0,12,58,2014
62,Tamazula de Gordiano,101,0,0,32,24,27,18,2014
63,Tecalitlán,65,0,0,0,0,48,17,2014
64,Valle de Juárez,10,0,0,10,0,0,0,2014
66,Amacueca,14,0,0,0,0,0,14,2014
67,Atemajac de Brizuela,29,0,0,0,0,0,29,2014
68,Atoyac,24,15,0,0,0,0,9,2014
69,Gómez Farías,42,0,0,0,8,0,34,2014
70,San Gabriel,28,0,0,0,10,0,18,2014
71,Sayula,151,33,59,10,22,18,9,2014
72,Tapalpa,746,80,114,189,8,12,343,2014
73,Tonila,7,0,0,7,0,0,0,2014
74,Tuxpan,53,0,0,10,10,19,14,2014
75,Zacoalco de Torres,70,0,0,0,0,34,36,2014
76,Zapotiltic,84,0,0,0,20,12,52,2014
77,Zapotitlán de Vadillo,10,0,0,0,0,0,10,2014
78,Zapotlán el Grande,778,156,146,311,157,0,8,2014
80,Atengo,15,0,0,0,0,0,15,2014
81,Chiquilistlán,17,0,0,0,0,0,17,2014
82,El Grullo,118,0,60,0,23,0,35,2014
83,El Limón,11,0,0,0,0,11,0,2014
84,Juchitlán,8,0,0,0,0,0,8,2014
85,Tecolotlán,79,0,0,0,0,58,21,2014
86,Tenamaxtlán,16,0,0,0,0,16,0,2014
87,Tonaya,9,0,0,0,0,0,9,2014
88,Unión de Tula,77,0,0,28,0,49,0,2014
90,Autlán de Navarro,329,0,0,161,32,83,53,2014
91,Casimiro Castillo,64,0,0,34,30,0,0,2014
92,Cihuatlán,2192,0,499,678,354,319,342,2014
93,Cuautitlán de García Barragán,32,0,0,0,0,32,0,2014
94,La Huerta,796,135,264,46,70,47,234,2014
95,Villa Purificación,80,0,0,0,60,10,10,2014
97,Cabo Corrientes,125,3,0,63,45,0,14,2014
98,Puerto Vallarta,22962,5955,3416,1410,341,381,11459,2014
99,Tomatlán,152,27,32,0,26,0,67,2014
101,Atenguillo,5,0,0,0,0,5,0,2014
102,Ayutla,39,0,0,0,0,21,18,2014
103,Guachinango,13,0,0,0,0,0,13,2014
104,Mascota,255,37,61,61,24,0,72,2014
105,San Sebastián del Oeste,142,19,40,0,17,4,62,2014
106,Talpa de Allende,1041,0,25,134,69,257,556,2014
108,Ahualulco de Mercado,70,24,8,0,0,9,29,2014
109,Amatitán,25,0,0,0,0,0,25,2014
110,Ameca,142,0,0,48,0,94,0,2014
111,Cocula,72,0,0,10,46,11,5,2014
112,El Arenal,40,0,0,0,0,0,40,2014
113,Etzatlán,56,0,11,21,0,13,11,2014
114,Hostotipaquillo,24,0,0,0,0,0,24,2014
115,Magdalena,102,0,0,0,0,90,12,2014
116,San Juanito de Escobedo,8,0,0,0,0,0,8,2014
117,San Marcos,20,0,0,0,0,0,20,2014
118,San Martín Hidalgo,62,0,0,0,8,31,23,2014
119,Tala,80,0,0,34,0,23,23,2014
120,Tequila,371,66,105,69,42,11,78,2014
121,Teuchitlán,52,0,31,0,0,11,10,2014
123,Cuquío,42,0,0,32,10,0,0,2014
124,El Salto,168,0,156,0,0,0,12,2014
125,Guadalajara,15050,3336,4121,3000,540,1838,2215,2014
126,Ixtlahuacán de los Membrillos,14,2,12,0,0,0,0,2014
127,Ixtlahuacán del Río,11,0,0,0,0,0,11,2014
128,San Cristóbal de la Barranca,31,5,0,0,0,0,26,2014
129,San Pedro Tlaquepaque,2262,131,253,724,0,32,1122,2014
130,Tlajomulco de Zúñiga,423,6,135,10,0,0,272,2014
131,Tonalá,361,0,0,230,0,53,78,2014
132,Villa Corona,182,0,0,0,0,20,162,2014
133,Zapopan,4470,1067,1950,494,47,12,900,2014
134,Zapotlanejo,177,0,36,5,71,32,33,2014
