,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
9,Bolaños,28,0,0,0,0,8,20,2015
10,Chimaltitán,8,0,0,0,0,0,8,2015
11,Colotlán,138,0,62,0,0,76,0,2015
12,Huejúcar,41,0,0,0,0,41,0,2015
13,Huejuquilla el Alto,77,0,0,60,0,0,17,2015
14,Mezquitic,52,0,21,0,9,0,22,2015
15,San Martín de Bolaños,22,0,0,0,0,10,12,2015
16,Totatiche,119,0,0,0,0,5,114,2015
17,Villa Guerrero,18,0,0,0,0,0,18,2015
19,Encarnación de Díaz,162,0,9,82,71,0,0,2015
20,Lagos de Moreno,803,147,108,162,280,26,80,2015
21,Ojuelos de Jalisco,132,9,0,0,0,18,105,2015
22,San Diego de Alejandría,123,0,0,6,0,92,25,2015
23,San Juan de los Lagos,3787,210,560,776,681,1258,302,2015
24,Teocaltiche,70,0,0,0,44,16,10,2015
25,Unión de San Antonio,40,0,0,20,0,20,0,2015
26,Villa Hidalgo,322,0,24,27,28,74,169,2015
28,Acatic,79,0,0,0,53,10,16,2015
29,Arandas,328,23,37,122,116,30,0,2015
30,Cañadas de Obregón,14,0,0,0,0,0,14,2015
31,Jalostotitlán,129,0,0,32,38,40,19,2015
32,Jesús María,36,0,0,0,0,0,36,2015
33,Mexticacán,10,0,0,0,0,10,0,2015
34,San Ignacio Cerro Gordo,6,0,6,0,0,0,0,2015
35,San Julián,93,45,48,0,0,0,0,2015
36,San Miguel el Alto,94,0,62,0,0,0,32,2015
37,Tepatitlán de Morelos,545,0,295,163,48,0,39,2015
38,Valle de Guadalupe,25,0,0,0,0,0,25,2015
39,Yahualica de González Gallo,112,0,0,24,18,45,25,2015
41,Atotonilco el Alto,144,30,19,0,44,18,33,2015
42,Ayotlán,78,0,0,42,33,0,3,2015
43,Chapala,692,95,218,94,41,55,189,2015
44,Degollado,39,0,0,0,0,39,0,2015
45,Jamay,87,0,0,0,15,18,54,2015
46,Jocotepec,344,69,23,32,50,23,147,2015
47,La Barca,368,0,0,89,49,123,107,2015
48,Ocotlán,356,0,72,107,0,42,135,2015
49,Poncitlán,77,0,0,0,0,59,18,2015
50,Tizapán el Alto,25,0,0,0,0,8,17,2015
51,Tototlán,25,0,0,0,0,0,25,2015
52,Tuxcueca,22,0,0,5,0,0,17,2015
53,Zapotlán del Rey,20,5,0,0,0,0,15,2015
55,Concepción de Buenos Aires,140,0,0,0,0,0,140,2015
56,La Manzanilla de la Paz,85,0,10,26,9,15,25,2015
57,Mazamitla,558,39,119,106,30,53,211,2015
58,Pihuamo,14,0,0,14,0,0,0,2015
59,Quitupan,16,0,0,16,0,0,0,2015
60,Santa María del Oro,70,0,0,0,0,12,58,2015
61,Tamazula de Gordiano,101,0,0,32,24,27,18,2015
62,Tecalitlán,65,0,0,0,0,48,17,2015
63,Valle de Juárez,10,0,0,10,0,0,0,2015
65,Amacueca,14,0,0,0,0,0,14,2015
66,Atemajac de Brizuela,29,0,0,0,0,0,29,2015
67,Atoyac,24,15,0,0,0,0,9,2015
68,Gómez Farías,42,0,0,0,8,0,34,2015
69,San Gabriel,28,0,0,0,10,0,18,2015
70,Sayula,151,33,59,10,22,18,9,2015
71,Tapalpa,746,80,114,189,8,12,343,2015
72,Tonila,7,0,0,7,0,0,0,2015
73,Tuxpan,53,0,0,10,10,19,14,2015
74,Zacoalco de Torres,70,0,0,0,0,34,36,2015
75,Zapotiltic,84,0,0,0,20,12,52,2015
76,Zapotitlán de Vadillo,10,0,0,0,0,0,10,2015
77,Zapotlán el Grande,778,156,146,311,157,0,8,2015
79,Atengo,15,0,0,0,0,0,15,2015
80,Chiquilistlán,17,0,0,0,0,0,17,2015
81,El Grullo,118,0,60,0,23,0,35,2015
82,El Limón,11,0,0,0,0,11,0,2015
83,Juchitlán,8,0,0,0,0,0,8,2015
84,Tecolotlán,79,0,0,0,0,58,21,2015
85,Tenamaxtlán,16,0,0,0,0,16,0,2015
86,Tonaya,9,0,0,0,0,0,9,2015
87,Unión de Tula,77,0,0,28,0,49,0,2015
89,Autlán de Navarro,329,0,0,161,32,83,53,2015
90,Casimiro Castillo,64,0,0,34,30,0,0,2015
91,Cihuatlán,2192,0,499,678,354,319,342,2015
92,Cuautitlán de García Barragán,32,0,0,0,0,32,0,2015
93,La Huerta,796,135,264,46,70,47,234,2015
94,Villa Purificación,80,0,0,0,60,10,10,2015
96,Cabo Corrientes,125,3,0,63,45,0,14,2015
97,Puerto Vallarta,22962,5955,3416,1410,341,381,11459,2015
98,Tomatlán,152,27,32,0,26,0,67,2015
100,Atenguillo,5,0,0,0,0,5,0,2015
101,Ayutla,39,0,0,0,0,21,18,2015
102,Guachinango,13,0,0,0,0,0,13,2015
103,Mascota,255,37,61,61,24,0,72,2015
104,San Sebastián del Oeste,142,19,40,0,17,4,62,2015
105,Talpa de Allende,1041,0,25,134,69,257,556,2015
107,Ahualulco de Mercado,70,24,8,0,0,9,29,2015
108,Amatitán,25,0,0,0,0,0,25,2015
109,Ameca,142,0,0,48,0,94,0,2015
110,Cocula,72,0,0,10,46,11,5,2015
111,El Arenal,40,0,0,0,0,0,40,2015
112,Etzatlán,56,0,11,21,0,13,11,2015
113,Hostotipaquillo,24,0,0,0,0,0,24,2015
114,Magdalena,102,0,0,0,0,90,12,2015
115,San Juanito de Escobedo,8,0,0,0,0,0,8,2015
116,San Marcos,20,0,0,0,0,0,20,2015
117,San Martín Hidalgo,62,0,0,0,8,31,23,2015
118,Tala,80,0,0,34,0,23,23,2015
119,Tequila,371,66,105,69,42,11,78,2015
120,Teuchitlán,52,0,31,0,0,11,10,2015
122,Cuquío,42,0,0,32,10,0,0,2015
123,El Salto,168,0,156,0,0,0,12,2015
124,Guadalajara,15050,3336,4121,3000,540,1838,2215,2015
125,Ixtlahuacán de los Membrillos,14,2,12,0,0,0,0,2015
126,Ixtlahuacán del Río,11,0,0,0,0,0,11,2015
127,San Cristóbal de la Barranca,31,5,0,0,0,0,26,2015
