,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
10,ACATIC,66,0,0,0,0,0,66,2018
11,ACATLÁN DE JUÁREZ,14,0,0,0,0,0,14,2018
12,AHUALULCO DE MERCADO,116,0,0,0,0,0,116,2018
13,AMACUECA,10,0,0,0,0,0,10,2018
14,AMATITÁN,22,0,0,0,0,0,22,2018
15,AMECA,153,0,40,34,28,0,51,2018
16,ARANDAS,383,14,60,30,97,182,0,2018
17,ATEMAJAC DE BRIZUELA,59,19,0,8,22,0,10,2018
18,ATENGO,12,0,0,0,0,0,12,2018
19,ATENGUILLO,63,0,0,0,0,0,63,2018
20,ATOTONILCO EL ALTO,167,0,30,41,0,0,96,2018
21,ATOYAC,71,41,0,0,16,14,0,2018
22,AUTLÁN DE NAVARRO,411,0,32,174,143,62,0,2018
23,AYOTLÁN,44,0,0,44,0,0,0,2018
24,AYUTLA,84,0,0,0,0,0,84,2018
25,BOLAÑOS,43,0,0,25,10,8,0,2018
26,CABO CORRIENTES,128,3,29,59,16,0,21,2018
27,CAÑADAS DE OBREGÓN,40,0,0,0,0,0,40,2018
28,CASIMIRO CASTILLO,66,0,0,34,32,0,0,2018
29,CHAPALA,741,115,275,112,108,72,59,2018
30,CHIMALTITÁN,34,0,0,0,9,0,25,2018
31,CHIQUILISTLÁN,12,0,0,0,0,0,12,2018
32,CIHUATLÁN,2251,192,511,823,283,264,178,2018
33,COCULA,72,0,0,0,0,0,72,2018
34,COLOTLÁN,162,0,62,38,0,47,15,2018
35,CONCEPCIÓN DE BUENOS AIRES,76,0,0,0,0,0,76,2018
36,CUAUTITLÁN DE GARCÍA BARRAGÁN,2251,192,511,823,283,264,178,2018
37,CUAUTLA,29,0,0,0,20,0,9,2018
38,CUQUÍO,61,0,61,0,0,0,0,2018
39,DEGOLLADO,47,0,12,35,0,0,0,2018
40,EL ARENAL,66,0,0,0,0,0,66,2018
41,EL GRULLO,141,0,60,35,29,17,0,2018
42,EL LIMÓN,22,0,0,13,0,0,9,2018
43,EL SALTO,412,0,304,108,0,0,0,2018
44,ENCARNACIÓN DE DÍAZ,111,0,75,20,16,0,0,2018
45,ETZATLÁN,79,0,0,0,0,0,79,2018
46,GÓMEZ FARÍAS,44,0,0,0,0,0,44,2018
47,GUACHINANGO,39,0,0,0,0,0,39,2018
48,GUADALAJARA,17823,3406,6815,3166,3124,896,416,2018
49,HOSTOTIPAQUILLO,7,0,0,0,0,0,7,2018
50,HUEJÚCAR,42,0,0,0,0,0,42,2018
