,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
77,SAN IGNACIO CERRO GORDO,114,0,0,0,0,0,114,2019
78,SAN JUAN DE LOS LAGOS,3734,539,461,871,799,975,89,2019
79,SAN JUANITO DE ESCOBEDO,4,0,0,0,0,0,4,2019
80,SAN JULIÁN,298,0,69,188,0,0,41,2019
81,SAN MARCOS,21,0,0,0,0,0,21,2019
82,SAN MARTÍN DE BOLAÑOS,22,0,0,0,12,10,0,2019
83,SAN MARTÍN HIDALGO,80,0,0,40,40,0,0,2019
84,SAN MIGUEL EL ALTO,150,0,81,32,0,37,0,2019
85,SAN SEBASTIÁN DEL OESTE,434,71,6,300,12,0,45,2019
86,SANTA MARÍA DEL ORO,11,0,0,0,0,0,11,2019
87,SAYULA,144,51,66,0,27,0,0,2019
88,TALA,123,0,0,0,0,0,123,2019
89,TALPA DE ALLENDE,1581,0,0,0,0,0,1581,2019
90,TAMAZULA DE GORDIANO,81,0,0,0,0,0,81,2019
91,TAPALPA,1155,95,0,0,0,0,1060,2019
92,TECALITLÁN,65,0,0,20,0,0,45,2019
93,TECOLOTLÁN,70,0,0,0,12,58,0,2019
94,TENAMAXTLÁN,28,0,0,0,0,0,28,2019
95,TEOCALTICHE,99,0,55,0,44,0,0,2019
96,TEOCUITATLÁN DE CORONA,6,0,0,0,0,0,6,2019
97,TEPATITLÁN DE MORELOS,568,13,263,56,0,0,236,2019
98,TEQUILA,578,158,187,95,83,35,20,2019
99,TEUCHITLÁN,60,0,0,10,0,0,50,2019
100,TIZAPÁN EL ALTO,25,0,0,0,0,25,N/D,2019
101,TLAJOMULCO DE ZÚÑIGA,341,10,135,139,0,0,57,2019
102,TLAQUEPAQUE,1313,297,317,619,0,0,80,2019
103,TOLIMÁN,16,0,0,0,0,0,16,2019
104,TOMATLÁN,163,0,50,45,47,11,10,2019
105,TONALÁ,403,14,0,328,61,0,N/D,2019
106,TONAYA,38,0,0,0,24,0,14,2019
107,TOTATICHE,120,0,0,0,109,11,0,2019
108,TOTOTLÁN,33,0,0,0,0,0,33,2019
109,TUXCUECA,21,0,0,0,0,21,N/D,2019
110,TUXPAN,51,0,0,13,0,18,20,2019
111,UNIÓN DE SAN ANTONIO,89,0,0,0,0,0,89,2019
112,UNIÓN DE TULA,98,0,19,26,0,0,53,2019
113,VALLE DE GUADALUPE,50,0,0,0,0,0,50,2019
114,VALLE DE JUÁREZ,58,0,0,0,0,0,58,2019
115,VILLA CORONA,107,0,0,0,0,0,107,2019
116,VILLA GUERRERO,17,0,0,0,17,0,0,2019
117,VILLA HIDALGO,338,0,0,110,0,0,228,2019
118,VILLA PURIFICACIÓN,65,0,36,0,6,10,13,2019
119,YAHUALICA DE GONZÁLEZ GALLO,142,11,42,24,40,0,25,2019
120,ZACOALCO DE TORRES,127,0,15,12,0,100,0,2019
121,ZAPOPAN,7139,1607,2860,1697,291,107,577,2019
122,ZAPOTILTIC,90,0,18,0,0,0,72,2019
123,ZAPOTITLÁN DE VADILLO,20,0,0,0,0,0,20,2019
124,ZAPOTLÁN DEL REY,28,13,0,15,0,0,0,2019
125,ZAPOTLÁN EL GRANDE,537,0,136,319,58,24,N/D,2019
126,ZAPOTLANEJO,211,0,18,176,17,0,N/D,2019
