,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
7,Municipio,76405,14757,18910,12900,5142,5269,19427,2019
9,ACATIC,86,0,0,10,0,12,64,2019
10,ACATLÁN DE JUÁREZ,14,0,0,14,0,0,0,2019
11,AHUALULCO DE MERCADO,138,29,42,0,0,0,67,2019
12,AMACUECA,8,0,0,0,0,0,8,2019
13,AMATITÁN,46,0,0,16,0,30,0,2019
15,ARANDAS,416,14,60,30,59,177,76,2019
16,ATEMAJAC DE BRIZUELA,108,42,13,8,41,4,0,2019
17,ATENGO,12,0,0,0,0,0,12,2019
18,ATENGUILLO,63,0,0,0,6,0,57,2019
20,ATOYAC,32,12,0,0,16,4,0,2019
21,AUTLÁN DE NAVARRO,411,0,32,174,143,62,N/D,2019
22,AYOTLÁN,44,0,0,44,0,0,0,2019
23,AYUTLA,74,0,0,0,0,0,74,2019
24,BOLAÑOS,43,0,0,25,10,8,0,2019
25,CABO CORRIENTES,183,20,29,90,16,0,28,2019
26,CAÑADAS DE OBREGÓN,43,33,10,0,0,0,0,2019
27,CASIMIRO CASTILLO,66,0,0,34,32,0,0,2019
28,CHAPALA,1343,136,863,95,163,72,14,2019
29,CHIMALTITÁN,34,0,25,0,9,0,0,2019
30,CHIQUILISTLÁN,20,0,0,0,0,0,20,2019
31,CIHUATLÁN,2563,329,501,887,385,257,204,2019
32,COCULA,161,0,18,0,0,0,143,2019
33,COLOTLÁN,162,0,62,38,0,47,15,2019
34,CONCEPCIÓN DE BUENOS AIRES,76,76,0,0,0,0,0,2019
35,CUAUTITLÁN DE GARCÍA B.,28,0,0,0,0,28,0,2019
36,CUAUTLA,29,0,0,0,20,0,9,2019
37,CUQUÍO,61,0,61,0,0,0,0,2019
38,DEGOLLADO,47,0,12,35,0,0,0,2019
39,EL ARENAL,66,0,0,0,0,0,66,2019
40,EL GRULLO,141,0,60,54,10,17,N/D,2019
41,EL LIMÓN,22,0,0,13,0,0,9,2019
42,EL SALTO,530,0,422,108,0,0,N/D,2019
43,ENCARNACIÓN DE DÍAZ,111,0,75,20,16,0,0,2019
44,ETZATLÁN,97,11,0,0,0,0,86,2019
45,GÓMEZ FARÍAS,44,0,0,0,0,0,44,2019
46,GUACHINANGO,39,0,0,0,0,0,39,2019
47,GUADALAJARA,15336,3034,5404,2895,1146,2306,551,2019
48,HOSTOTIPAQUILLO,7,0,0,0,0,0,7,2019
49,HUEJÚCAR,42,0,0,0,0,42,0,2019
50,HUEJUQUILLA EL ALTO,68,0,0,60,8,0,0,2019
51,IXTLAHUACÁN DE LOS M.,58,0,0,58,0,0,0,2019
52,IXTLAHUACÁN DEL RÍO,222,0,0,0,0,0,222,2019
54,JAMAY,108,0,8,22,15,18,45,2019
55,JESÚS MARÍA,12,0,0,0,0,0,12,2019
56,JILOTLÁN DE LOS DOLORES,6,0,0,0,0,0,6,2019
57,JOCOTEPEC,482,111,94,68,14,44,151,2019
58,JUCHITLÁN,6,0,0,0,6,0,0,2019
59,LA BARCA,350,0,16,131,25,109,69,2019
60,LA HUERTA,1558,72,922,152,412,N/D,N/D,2019
61,LA MANZANILLA DE LA PAZ,184,19,90,22,0,15,38,2019
62,LAGOS DE MORENO,863,157,143,203,93,0,267,2019
63,MAGDALENA,133,0,0,0,0,0,133,2019
64,MASCOTA,401,51,65,143,98,42,2,2019
65,MAZAMITLA,1043,148,243,164,10,0,478,2019
66,MEXTICACÁN,10,0,0,0,0,0,10,2019
67,MEZQUITIC,49,0,0,0,20,0,29,2019
68,MIXTLÁN,51,0,0,0,0,0,51,2019
69,OCOTLÁN,377,0,143,109,0,0,125,2019
70,OJUELOS DE JALISCO,158,0,0,0,0,0,158,2019
71,PIHUAMO,34,0,0,0,0,0,34,2019
72,PONCITLÁN,95,0,0,4,0,73,18,2019
73,PUERTO VALLARTA,25495,7534,4546,1873,642,412,10488,2019
74,QUITUPAN,16,0,0,0,0,0,16,2019
75,SAN DIEGO DE ALEJANDRÍA,45,0,0,19,0,0,26,2019
76,SAN GABRIEL,244,0,0,0,0,0,244,2019
