,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
112,UNIÓN DE SAN ANTONIO,28,0,0,0,0,0,28,2017
113,UNIÓN DE TULA,83,0,0,19,0,0,64,2017
114,VALLE DE GUADALUPE,50,0,0,0,0,0,50,2017
115,VALLE DE JUÁREZ,58,0,0,0,0,0,58,2017
116,VILLA CORONA,107,0,0,0,0,0,107,2017
117,VILLA GUERRERO,17,0,0,0,17,0,0,2017
118,VILLA HIDALGO,280,0,0,0,0,0,280,2017
119,VILLA PURIFICACIÓN,74,0,0,0,0,0,74,2017
120,YAHUALICA DE GONZÁLEZ GALLO,111,11,36,24,40,0,0,2017
121,ZACOALCO DE TORRES,127,0,15,0,0,112,0,2017
122,ZAPOPAN,7458,1599,3780,1917,82,71,9,2017
123,ZAPOTILTIC,90,0,0,0,0,0,90,2017
124,ZAPOTITLÁN DE VADILLO,20,0,0,0,0,0,20,2017
125,ZAPOTLÁN DEL REY,20,20,0,0,0,0,0,2017
126,ZAPOTLÁN EL GRANDE,495,0,136,209,118,32,0,2017
127,ZAPOTLANEJO,188,0,18,153,17,0,0,2017
