,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
11,Estado,65677,11769,13227,9866,3771,5987,21057,2013
12,I Norte,503,0,83,60,9,140,211,2013
13,Bolaños,28,0,0,0,0,8,20,2013
14,Chimaltitán,8,0,0,0,0,0,8,2013
15,Colotlán,138,0,62,0,0,76,0,2013
16,Huejúcar,41,0,0,0,0,41,0,2013
17,Huejuquilla el Alto,77,0,0,60,0,0,17,2013
18,Mezquitic,52,0,21,0,9,0,22,2013
19,San Martín de Bolaños,22,0,0,0,0,10,12,2013
20,Totatiche,119,0,0,0,0,5,114,2013
21,Villa Guerrero,18,0,0,0,0,0,18,2013
22,II Altos Norte,5439,366,701,1073,1104,1504,691,2013
23,Encarnación de Díaz,162,0,9,82,71,0,0,2013
24,Lagos de Moreno,803,147,108,162,280,26,80,2013
25,Ojuelos de Jalisco,132,9,0,0,0,18,105,2013
26,San Diego de Alejandría,123,0,0,6,0,92,25,2013
27,San Juan de los Lagos,3787,210,560,776,681,1258,302,2013
28,Teocaltiche,70,0,0,0,44,16,10,2013
29,Unión de San Antonio,40,0,0,20,0,20,0,2013
30,Villa Hidalgo,322,0,24,27,28,74,169,2013
31,III Altos Sur,1471,68,448,341,273,135,206,2013
32,Acatic,79,0,0,0,53,10,16,2013
33,Arandas,328,23,37,122,116,30,0,2013
34,Cañadas de Obregón,14,0,0,0,0,0,14,2013
35,Jalostotitlán,129,0,0,32,38,40,19,2013
36,Jesús María,36,0,0,0,0,0,36,2013
37,Mexticacán,10,0,0,0,0,10,0,2013
38,San Ignacio Cerro Gordo,6,0,6,0,0,0,0,2013
39,San Julián,93,45,48,0,0,0,0,2013
40,San Miguel el Alto,94,0,62,0,0,0,32,2013
41,Tepatitlán de Morelos,545,0,295,163,48,0,39,2013
42,Valle de Guadalupe,25,0,0,0,0,0,25,2013
43,Yahualica de González Gallo,112,0,0,24,18,45,25,2013
44,IV Ciénega,2277,199,332,369,232,385,760,2013
45,Atotonilco el Alto,144,30,19,0,44,18,33,2013
46,Ayotlán,78,0,0,42,33,0,3,2013
47,Chapala,692,95,218,94,41,55,189,2013
48,Degollado,39,0,0,0,0,39,0,2013
49,Jamay,87,0,0,0,15,18,54,2013
50,Jocotepec,344,69,23,32,50,23,147,2013
51,La Barca,368,0,0,89,49,123,107,2013
52,Ocotlán,356,0,72,107,0,42,135,2013
53,Poncitlán,77,0,0,0,0,59,18,2013
54,Tizapán el Alto,25,0,0,0,0,8,17,2013
55,Tototlán,25,0,0,0,0,0,25,2013
56,Tuxcueca,22,0,0,5,0,0,17,2013
57,Zapotlán del Rey,20,5,0,0,0,0,15,2013
58,V Sureste,1059,39,129,204,63,155,469,2013
59,Concepción de Buenos Aires,140,0,0,0,0,0,140,2013
60,La Manzanilla de la Paz,85,0,10,26,9,15,25,2013
61,Mazamitla,558,39,119,106,30,53,211,2013
62,Pihuamo,14,0,0,14,0,0,0,2013
63,Quitupan,16,0,0,16,0,0,0,2013
64,Santa María del Oro,70,0,0,0,0,12,58,2013
65,Tamazula de Gordiano,101,0,0,32,24,27,18,2013
66,Tecalitlán,65,0,0,0,0,48,17,2013
67,Valle de Juárez,10,0,0,10,0,0,0,2013
68,VI Sur,2036,284,319,527,235,95,576,2013
69,Amacueca,14,0,0,0,0,0,14,2013
70,Atemajac de Brizuela,29,0,0,0,0,0,29,2013
71,Atoyac,24,15,0,0,0,0,9,2013
72,Gómez Farías,42,0,0,0,8,0,34,2013
73,San Gabriel,28,0,0,0,10,0,18,2013
74,Sayula,151,33,59,10,22,18,9,2013
75,Tapalpa,746,80,114,189,8,12,343,2013
76,Tonila,7,0,0,7,0,0,0,2013
77,Tuxpan,53,0,0,10,10,19,14,2013
78,Zacoalco de Torres,70,0,0,0,0,34,36,2013
79,Zapotiltic,84,0,0,0,20,12,52,2013
80,Zapotitlán de Vadillo,10,0,0,0,0,0,10,2013
81,Zapotlán el Grande,778,156,146,311,157,0,8,2013
82,VII Sierra de Amula,350,0,60,28,23,134,105,2013
83,Atengo,15,0,0,0,0,0,15,2013
84,Chiquilistlán,17,0,0,0,0,0,17,2013
85,El Grullo,118,0,60,0,23,0,35,2013
86,El Limón,11,0,0,0,0,11,0,2013
87,Juchitlán,8,0,0,0,0,0,8,2013
88,Tecolotlán,79,0,0,0,0,58,21,2013
89,Tenamaxtlán,16,0,0,0,0,16,0,2013
90,Tonaya,9,0,0,0,0,0,9,2013
91,Unión de Tula,77,0,0,28,0,49,0,2013
92,VIII Costa Sur,3493,135,763,919,546,491,639,2013
93,Autlán de Navarro,329,0,0,161,32,83,53,2013
94,Casimiro Castillo,64,0,0,34,30,0,0,2013
95,Cihuatlán,2192,0,499,678,354,319,342,2013
96,Cuautitlán de García Barragán,32,0,0,0,0,32,0,2013
97,La Huerta,796,135,264,46,70,47,234,2013
98,Villa Purificación,80,0,0,0,60,10,10,2013
99,IX Costa Norte,23239,5985,3448,1473,412,381,11540,2013
100,Cabo Corrientes,125,3,0,63,45,0,14,2013
101,Puerto Vallarta,22962,5955,3416,1410,341,381,11459,2013
102,Tomatlán,152,27,32,0,26,0,67,2013
103,X Sierra Occidental,1495,56,126,195,110,287,721,2013
104,Atenguillo,5,0,0,0,0,5,0,2013
105,Ayutla,39,0,0,0,0,21,18,2013
106,Guachinango,13,0,0,0,0,0,13,2013
107,Mascota,255,37,61,61,24,0,72,2013
108,San Sebastián del Oeste,142,19,40,0,17,4,62,2013
109,Talpa de Allende,1041,0,25,134,69,257,556,2013
110,XI Valles,1124,90,155,182,96,293,308,2013
111,Ahualulco de Mercado,70,24,8,0,0,9,29,2013
112,Amatitán,25,0,0,0,0,0,25,2013
113,Ameca,142,0,0,48,0,94,0,2013
114,Cocula,72,0,0,10,46,11,5,2013
115,El Arenal,40,0,0,0,0,0,40,2013
116,Etzatlán,56,0,11,21,0,13,11,2013
117,Hostotipaquillo,24,0,0,0,0,0,24,2013
118,Magdalena,102,0,0,0,0,90,12,2013
119,San Juanito de Escobedo,8,0,0,0,0,0,8,2013
120,San Marcos,20,0,0,0,0,0,20,2013
121,San Martín Hidalgo,62,0,0,0,8,31,23,2013
122,Tala,80,0,0,34,0,23,23,2013
123,Tequila,371,66,105,69,42,11,78,2013
124,Teuchitlán,52,0,31,0,0,11,10,2013
125,XII Centro,23191,4547,6663,4495,668,1987,4831,2013
126,Cuquío,42,0,0,32,10,0,0,2013
127,El Salto,168,0,156,0,0,0,12,2013
128,Guadalajara,15050,3336,4121,3000,540,1838,2215,2013
129,Ixtlahuacán de los Membrillos,14,2,12,0,0,0,0,2013
130,Ixtlahuacán del Río,11,0,0,0,0,0,11,2013
131,San Cristóbal de la Barranca,31,5,0,0,0,0,26,2013
132,San Pedro Tlaquepaque,2262,131,253,724,0,32,1122,2013
133,Tlajomulco de Zúñiga,423,6,135,10,0,0,272,2013
134,Tonalá,361,0,0,230,0,53,78,2013
135,Villa Corona,182,0,0,0,0,20,162,2013
136,Zapopan,4470,1067,1950,494,47,12,900,2013
137,Zapotlanejo,177,0,36,5,71,32,33,2013
