Año,Cuartos ,Porcentaje de crecimiento cuartos
2013,62215.0,
2014,63284.0,0.017182351522944627
2015,66079.0,0.04416598192276089
2016,70987.0,0.07427473176046853
2017,75422.0,0.06247622804175412
2018,75422.0,0.0
2019,76405.0,0.013033332449417942
2020,78533.0,0.027851580393953277
2021,78969.0,0.005551806247055378
2022,82066.0,0.039217920956324634
2023,82778.0,0.00867594375258938
