,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
10,ACATIC,2,0,0,0,0,0,2,2017
11,ACATLÁN DE JUÁREZ,1,0,0,0,0,0,1,2017
12,AHUALULCO DE MERCADO,8,0,0,0,0,0,8,2017
13,AMACUECA,1,0,0,0,0,0,1,2017
14,AMATITÁN,2,0,0,0,0,2,0,2017
15,AMECA,6,0,1,2,1,0,2,2017
16,ARANDAS,11,1,2,1,3,4,0,2017
17,ATEMAJAC DE BRIZUELA,9,1,0,1,4,0,3,2017
18,ATENGO,1,0,0,0,0,0,1,2017
19,ATENGUILLO,6,0,0,0,0,0,6,2017
20,ATOTONILCO EL ALTO,9,0,1,2,0,0,6,2017
21,ATOYAC,5,3,0,0,1,1,0,2017
22,AUTLÁN DE NAVARRO,12,0,1,3,6,2,0,2017
23,AYOTLÁN,2,0,0,2,0,0,0,2017
24,AYUTLA,6,0,0,0,0,0,6,2017
25,BOLAÑOS,3,0,0,1,1,1,0,2017
26,CABO CORRIENTES,8,1,1,3,1,0,2,2017
27,CAÑADAS DE OBREGÓN,3,0,0,0,0,0,3,2017
28,CASIMIRO CASTILLO,2,0,0,1,1,0,0,2017
29,CHAPALA,49,5,15,8,13,5,3,2017
30,CHIMALTITÁN,2,0,0,0,1,0,1,2017
31,CHIQUILISTLÁN,1,0,0,0,0,0,1,2017
32,CIHUATLÁN,130,24,12,37,18,19,20,2017
33,COCULA,3,0,0,0,0,0,3,2017
34,COLOTLÁN,6,0,1,1,0,3,1,2017
35,CONCEPCIÓN DE BUENOS AIRES,5,0,0,0,0,0,5,2017
36,CUAUTITLÁN DE GARCÍA BARRAGÁN,130,24,12,37,18,19,20,2017
37,CUAUTLA,2,0,0,0,1,0,1,2017
38,CUQUÍO,2,0,2,0,0,0,0,2017
39,DEGOLLADO,2,0,1,1,0,0,0,2017
40,EL ARENAL,5,0,0,0,0,0,5,2017
41,EL GRULLO,6,0,1,2,2,1,0,2017
42,EL LIMÓN,2,0,0,1,0,0,1,2017
43,EL SALTO,4,0,3,1,0,0,0,2017
44,ENCARNACIÓN DE DÍAZ,6,0,4,1,1,0,0,2017
45,ETZATLÁN,6,0,0,0,0,0,6,2017
46,GÓMEZ FARÍAS,3,0,0,0,0,0,3,2017
47,GUACHINANGO,3,0,0,0,0,0,3,2017
48,GUADALAJARA,289,30,77,51,89,20,22,2017
49,HOSTOTIPAQUILLO,1,0,0,0,0,0,1,2017
50,HUEJÚCAR,3,0,0,0,0,3,0,2017
51,HUEJUQUILLA EL ALTO,3,0,0,2,1,0,0,2017
52,IXTLAHUACÁN DE LOS MEMBRILLOS,3,0,1,0,0,1,1,2017
53,IXTLAHUACÁN DEL RÍO,1,0,0,0,0,0,1,2017
54,JALOSTOTITLÁN,7,1,2,3,0,1,0,2017
55,JAMAY,5,0,0,0,1,2,2,2017
56,JESÚS MARÍA,1,0,0,0,0,0,1,2017
57,JILOTLÁN DE LOS DOLORES,1,0,0,0,0,0,1,2017
58,JOCOTEPEC,23,5,4,4,1,4,5,2017
59,JUCHITLÁN,1,0,0,0,1,0,0,2017
