municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
TLAJOMULCO DE ZÚÑIGA,7,1,1,1,0,0,4,2013
TONALÁ,11,0,0,6,0,3,2,2013
VILLA CORONA,10,0,0,0,0,2,8,2013
ZAPOPAN,70,8,19,11,2,1,29,2013
ZAPOTLANEJO,7,0,1,3,0,2,1,2013
BOLAÑOS,3,0,0,0,0,1,2,2014
CHIMALTITÁN,1,0,0,0,0,0,1,2014
COLOTLÁN,2,0,1,0,0,1,0,2014
HUEJÚCAR,4,0,0,0,0,4,0,2014
HUEJUQUILLA EL ALTO,4,0,0,2,0,0,2,2014
MEZQUITIC,4,0,1,0,1,0,2,2014
SAN MARTÍN DE BOLAÑOS,2,0,0,0,0,1,1,2014
TOTATICHE,7,0,0,0,0,1,6,2014
VILLA GUERRERO,1,0,0,0,0,0,1,2014
ENCARNACIÓN DE DÍAZ,8,0,0,3,4,0,1,2014
LAGOS DE MORENO,30,2,2,6,4,1,15,2014
OJUELOS DE JALISCO,7,0,0,0,0,1,6,2014
SAN DIEGO DE ALEJANDRÍA,6,0,0,0,0,2,4,2014
SAN JUAN DE LOS LAGOS,106,4,10,21,20,34,17,2014
TEOCALTICHE,5,0,0,1,3,0,1,2014
UNIÓN DE SAN ANTONIO,3,0,0,1,0,2,0,2014
VILLA HIDALGO,14,0,2,1,1,3,7,2014
ACATIC,5,0,0,0,1,1,3,2014
ARANDAS,11,2,1,4,3,1,0,2014
CAÑADAS DE OBREGÓN,1,0,0,0,0,0,1,2014
JALOSTOTITLÁN,7,0,0,2,2,2,1,2014
JESÚS MARÍA,3,0,0,0,0,0,3,2014
MEXTICACÁN,1,0,0,0,0,1,0,2014
SAN IGNACIO CERRO GORDO,2,0,0,0,2,0,0,2014
SAN JULIÁN,2,1,1,0,0,0,0,2014
SAN MIGUEL EL ALTO,4,0,2,0,0,0,2,2014
TEPATITLÁN DE MORELOS,19,0,7,5,3,0,4,2014
VALLE DE GUADALUPE,1,0,0,0,0,0,1,2014
YAHUALICA DE GONZÁLEZ GALLO,5,0,0,1,1,2,1,2014
ATOTONILCO EL ALTO,7,1,1,0,2,0,3,2014
AYOTLÁN,6,0,0,3,2,0,1,2014
CHAPALA,52,2,13,9,8,7,13,2014
DEGOLLADO,2,0,0,0,0,2,0,2014
