,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
9,Bolaños,3,0,0,0,0,1,2,2015
10,Chimaltitán,1,0,0,0,0,0,1,2015
11,Colotlán,2,0,1,0,0,1,0,2015
12,Huejúcar,4,0,0,0,0,4,0,2015
13,Huejuquilla el Alto,4,0,0,2,0,0,2,2015
14,Mezquitic,4,0,1,0,1,0,2,2015
15,San Martín de Bolaños,2,0,0,0,0,1,1,2015
16,Totatiche,7,0,0,0,0,1,6,2015
17,Villa Guerrero,1,0,0,0,0,0,1,2015
19,Encarnación de Díaz,8,0,0,3,4,0,1,2015
20,Lagos de Moreno,30,2,2,6,4,1,15,2015
21,Ojuelos de Jalisco,7,0,0,0,0,1,6,2015
22,San Diego de Alejandría,6,0,0,0,0,2,4,2015
23,San Juan de los Lagos,106,4,10,21,20,34,17,2015
24,Teocaltiche,5,0,0,1,3,0,1,2015
25,Unión de San Antonio,3,0,0,1,0,2,0,2015
26,Villa Hidalgo,14,0,2,1,1,3,7,2015
28,Acatic,5,0,0,0,1,1,3,2015
29,Arandas,11,2,1,4,3,1,0,2015
30,Cañadas de Obregón,1,0,0,0,0,0,1,2015
31,Jalostotitlán,7,0,0,2,2,2,1,2015
32,Jesús María,3,0,0,0,0,0,3,2015
33,Mexticacán,1,0,0,0,0,1,0,2015
34,San Ignacio Cerro Gordo,2,0,0,0,2,0,0,2015
35,San Julián,2,1,1,0,0,0,0,2015
36,San Miguel el Alto,4,0,2,0,0,0,2,2015
37,Tepatitlán de Morelos,19,0,7,5,3,0,4,2015
38,Valle de Guadalupe,1,0,0,0,0,0,1,2015
39,Yahualica de González Gallo,5,0,0,1,1,2,1,2015
41,Atotonilco el Alto,7,1,1,0,2,0,3,2015
42,Ayotlán,6,0,0,3,2,0,1,2015
43,Chapala,52,2,13,9,8,7,13,2015
44,Degollado,2,0,0,0,0,2,0,2015
45,Jamay,5,0,0,0,1,1,3,2015
46,Jocotepec,22,4,3,4,1,2,8,2015
47,La Barca,34,0,4,8,2,8,12,2015
48,Ocotlán,20,0,3,5,0,3,9,2015
49,Poncitlán,4,0,0,0,0,3,1,2015
50,Tizapán el Alto,3,0,0,0,0,1,2,2015
51,Tototlán,3,0,0,0,0,1,2,2015
52,Tuxcueca,3,0,0,1,0,2,0,2015
53,Zapotlán del Rey,2,1,0,0,0,0,1,2015
55,Concepción de Buenos Aires,5,0,0,0,0,0,5,2015
56,La Manzanilla de la Paz,9,0,1,1,2,1,4,2015
57,Mazamitla,45,2,5,8,3,2,25,2015
58,Pihuamo,1,0,0,1,0,0,0,2015
59,Quitupan,1,0,0,1,0,0,0,2015
60,Santa María del Oro,3,0,0,1,0,1,1,2015
61,Tamazula de Gordiano,7,0,0,1,1,3,2,2015
62,Tecalitlán,3,0,0,0,0,2,1,2015
63,Valle de Juárez,1,0,0,1,0,0,0,2015
