,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
4,Municipio,Total,"Cinco
estrellas*","Cuatro
estrellas","Tres 
estrellas","Dos
estrellas","Una
estrella","[Sin 
categoría**]",2020
7,Estado,2628,163,301,372,238,206,1348,2020
8,ACATIC,4,0,0,1,0,1,2,2020
9,ACATLAN DE JUAREZ,1,0,0,1,0,0,0,2020
10,AHUALULCO DE MERCADO,9,1,3,0,0,0,5,2020
11,AMACUECA,1,0,0,0,0,0,1,2020
12,AMATITAN,3,0,0,1,0,2,0,2020
13,AMECA,6,0,2,2,1,1,0,2020
14,ARANDAS,17,1,2,1,2,4,7,2020
15,ATEMAJAC DE BRIZUELA,10,3,1,1,4,1,0,2020
16,ATENGO,1,0,0,0,0,0,1,2020
17,ATENGUILLO,7,0,0,0,1,0,6,2020
18,ATOTONILCO EL ALTO,9,0,1,2,0,0,6,2020
19,ATOYAC,5,3,0,0,1,1,0,2020
20,AUTLÁN DE NAVARRO,11,0,1,3,5,2,0,2020
21,AYOTLÁN,2,0,0,2,0,0,0,2020
22,AYUTLA,6,0,0,0,0,0,6,2020
23,BOLAÑOS,3,0,0,1,1,1,0,2020
24,CABO CORRIENTES,8,1,1,4,1,0,1,2020
25,CAÑADAS DE OBREGÓN,3,2,1,0,0,0,0,2020
26,CASIMIRO CASTILLO,2,0,0,1,1,0,0,2020
27,CHAPALA,57,8,21,10,11,7,0,2020
28,CHIMALTITÁN,2,0,1,0,1,0,0,2020
29,CHIQUILISTLÁN,2,0,0,0,0,0,2,2020
30,CIHUATLAN,145,32,13,43,26,19,12,2020
31,COCULA,10,0,1,0,0,0,9,2020
32,COLOTLÁN,7,0,1,1,0,3,2,2020
33,CONCEPCIÓN DE BUENOS AIRES,5,5,0,0,0,0,0,2020
34,CUAUTITLÁN DE GARCÍA BARRAGÁN,2,0,0,0,0,2,0,2020
35,CUAUTLA,2,0,0,0,1,0,1,2020
36,CUQUIO,2,0,2,0,0,0,0,2020
37,DEGOLLADO,2,0,1,1,0,0,0,2020
38,EL ARENAL,5,0,0,0,0,0,5,2020
39,EL GRULLO ,6,0,1,2,1,1,1,2020
40,EL SALTO,13,0,4,1,0,0,8,2020
41,ENCARNACIÓN DE DÍAZ,6,0,4,1,1,0,0,2020
42,ETZATLAN,10,1,0,0,0,0,9,2020
43,GÓMEZ FARIAS,3,0,0,0,0,0,3,2020
44,GUACHINANGO,4,0,0,0,0,0,4,2020
45,GUADALAJARA,291,17,65,51,37,48,73,2020
46,HOSTOTIPAQUILLO,1,0,0,0,0,0,1,2020
47,HUEJÚCAR,3,0,0,0,0,3,0,2020
48,HUEJUQUILLA EL ALTO,3,0,0,2,1,0,0,2020
49,IXTLAHUACÁN DE LOS MEMBRILLOS,3,0,0,3,0,0,0,2020
50,IXTLAHUACÁN DEL RÍO,5,0,0,0,0,0,5,2020
