,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
6,Estado,1647,106,204,273,148,230,685,2013
7,I Norte,28,0,2,2,1,8,15,2013
8,Bolaños,3,0,0,0,0,1,2,2013
9,Chimaltitán,1,0,0,0,0,0,1,2013
10,Colotlán,2,0,1,0,0,1,0,2013
11,Huejúcar,4,0,0,0,0,4,0,2013
12,Huejuquilla el Alto,4,0,0,2,0,0,2,2013
13,Mezquitic,4,0,1,0,1,0,2,2013
14,San Martín de Bolaños,2,0,0,0,0,1,1,2013
15,Totatiche,7,0,0,0,0,1,6,2013
16,Villa Guerrero,1,0,0,0,0,0,1,2013
17,II Altos Norte,179,6,14,33,32,43,51,2013
18,Encarnación de Díaz,8,0,0,3,4,0,1,2013
19,Lagos de Moreno,30,2,2,6,4,1,15,2013
20,Ojuelos de Jalisco,7,0,0,0,0,1,6,2013
21,San Diego de Alejandría,6,0,0,0,0,2,4,2013
22,San Juan de los Lagos,106,4,10,21,20,34,17,2013
23,Teocaltiche,5,0,0,1,3,0,1,2013
24,Unión de San Antonio,3,0,0,1,0,2,0,2013
25,Villa Hidalgo,14,0,2,1,1,3,7,2013
26,III Altos Sur,61,3,11,12,12,7,16,2013
27,Acatic,5,0,0,0,1,1,3,2013
28,Arandas,11,2,1,4,3,1,0,2013
29,Cañadas de Obregón,1,0,0,0,0,0,1,2013
30,Jalostotitlán,7,0,0,2,2,2,1,2013
31,Jesús María,3,0,0,0,0,0,3,2013
32,Mexticacán,1,0,0,0,0,1,0,2013
33,San Ignacio Cerro Gordo,2,0,0,0,2,0,0,2013
34,San Julián,2,1,1,0,0,0,0,2013
35,San Miguel el Alto,4,0,2,0,0,0,2,2013
36,Tepatitlán de Morelos,19,0,7,5,3,0,4,2013
37,Valle de Guadalupe,1,0,0,0,0,0,1,2013
38,Yahualica de González Gallo,5,0,0,1,1,2,1,2013
39,IV Ciénega,163,8,24,30,16,30,55,2013
40,Atotonilco el Alto,7,1,1,0,2,0,3,2013
41,Ayotlán,6,0,0,3,2,0,1,2013
42,Chapala,52,2,13,9,8,7,13,2013
43,Degollado,2,0,0,0,0,2,0,2013
44,Jamay,5,0,0,0,1,1,3,2013
45,Jocotepec,22,4,3,4,1,2,8,2013
46,La Barca,34,0,4,8,2,8,12,2013
47,Ocotlán,20,0,3,5,0,3,9,2013
48,Poncitlán,4,0,0,0,0,3,1,2013
49,Tizapán el Alto,3,0,0,0,0,1,2,2013
50,Tototlán,3,0,0,0,0,1,2,2013
51,Tuxcueca,3,0,0,1,0,2,0,2013
52,Zapotlán del Rey,2,1,0,0,0,0,1,2013
53,V Sureste,75,2,6,14,6,9,38,2013
54,Concepción de Buenos Aires,5,0,0,0,0,0,5,2013
55,La Manzanilla de la Paz,9,0,1,1,2,1,4,2013
56,Mazamitla,45,2,5,8,3,2,25,2013
57,Pihuamo,1,0,0,1,0,0,0,2013
58,Quitupan,1,0,0,1,0,0,0,2013
59,Santa María del Oro,3,0,0,1,0,1,1,2013
60,Tamazula de Gordiano,7,0,0,1,1,3,2,2013
61,Tecalitlán,3,0,0,0,0,2,1,2013
62,Valle de Juárez,1,0,0,1,0,0,0,2013
63,VI Sur,109,11,12,18,10,6,52,2013
64,Amacueca,2,0,0,0,0,0,2,2013
65,Atemajac de Brizuela,3,0,0,0,0,0,3,2013
66,Atoyac,2,1,0,0,0,0,1,2013
67,Gómez Farías,2,0,0,0,1,0,1,2013
68,San Gabriel,2,0,0,0,1,0,1,2013
69,Sayula,8,2,2,1,1,1,1,2013
70,Tapalpa,59,5,8,10,1,1,34,2013
71,Tonila,1,0,0,1,0,0,0,2013
72,Tuxpan,4,0,0,1,1,1,1,2013
73,Zacoalco de Torres,5,0,0,0,0,2,3,2013
74,Zapotiltic,5,0,0,0,1,1,3,2013
75,Zapotitlán de Vadillo,1,0,0,0,0,0,1,2013
76,Zapotlán el Grande,15,3,2,5,4,0,1,2013
77,VII Sierra de Amula,20,0,1,1,1,7,10,2013
78,Atengo,2,0,0,0,0,0,2,2013
79,Chiquilistlán,2,0,0,0,0,0,2,2013
80,El Grullo,4,0,1,0,1,0,2,2013
81,El Limón,1,0,0,0,0,1,0,2013
82,Juchitlán,1,0,0,0,0,0,1,2013
83,Tecolotlán,5,0,0,0,0,3,2,2013
84,Tenamaxtlán,1,0,0,0,0,1,0,2013
85,Tonaya,1,0,0,0,0,0,1,2013
86,Unión de Tula,3,0,0,1,0,2,0,2013
87,VIII Costa Sur,176,6,11,36,30,33,60,2013
88,Autlán de Navarro,7,0,0,3,1,1,2,2013
89,Casimiro Castillo,2,0,0,1,0,1,0,2013
90,Cihuatlán,129,0,9,29,24,25,42,2013
91,La Huerta,35,6,2,3,4,5,15,2013
92,Villa Purificación,3,0,0,0,1,1,1,2013
93,IX Costa Norte,306,28,31,30,14,11,192,2013
94,Cabo Corrientes,6,1,0,2,1,0,2,2013
95,Puerto Vallarta,292,26,30,28,12,11,185,2013
96,Tomatlán,8,1,1,0,1,0,5,2013
97,X Sierra Occidental,82,4,7,16,6,12,37,2013
98,Atenguillo,1,0,0,0,0,1,0,2013
99,Ayutla,2,0,0,0,0,1,1,2013
100,Guachinango,2,0,0,0,0,0,2,2013
101,Mascota,22,2,5,9,1,0,5,2013
102,San Sebastián del Oeste,18,2,1,4,3,2,6,2013
103,Talpa de Allende,37,0,1,3,2,8,23,2013
104,XI Valles,66,3,10,10,5,15,23,2013
105,Ahualulco de Mercado,5,1,1,0,0,1,2,2013
106,Amatitán,2,0,0,0,0,0,2,2013
107,Ameca,6,0,0,2,0,4,0,2013
108,Cocula,4,0,0,1,1,1,1,2013
109,El Arenal,3,0,0,0,0,0,3,2013
110,Etzatlán,5,0,1,1,0,1,2,2013
111,Hostotipaquillo,2,0,0,0,0,0,2,2013
112,Magdalena,5,0,0,0,0,4,1,2013
113,San Juanito de Escobedo,1,0,0,0,0,0,1,2013
114,San Marcos,1,0,0,0,0,0,1,2013
115,San Martín Hidalgo,2,0,0,0,0,1,1,2013
116,Tala,4,0,0,2,0,1,1,2013
117,Tequila,22,2,6,4,4,1,5,2013
118,Teuchitlán,4,0,2,0,0,1,1,2013
119,XII Centro,382,35,75,71,15,49,136,2013
120,Cuquío,4,0,0,2,2,0,0,2013
121,El Salto,2,0,1,0,0,0,1,2013
122,Guadalajara,232,23,43,43,11,39,72,2013
123,Ixtlahuacán de los Membrillos,1,0,1,0,0,0,0,2013
124,Ixtlahuacán del Río,0,0,0,0,0,0,1,2013
125,San Cristóbal de la Barranca,2,1,0,0,0,0,1,2013
126,San Pedro Tlaquepaque,36,2,9,5,0,2,17,2013
127,Tlajomulco de Zúñiga,7,1,1,1,0,0,4,2013
128,Tonalá,11,0,0,6,0,3,2,2013
129,Villa Corona,10,0,0,0,0,2,8,2013
130,Zapopan,70,8,19,11,2,1,29,2013
131,Zapotlanejo,7,0,1,3,0,2,1,2013
