,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
112,UNIÓN DE SAN ANTONIO,2,0,0,0,0,0,2,2018
113,UNIÓN DE TULA,5,0,0,1,0,0,4,2018
114,VALLE DE GUADALUPE,2,0,0,0,0,0,2,2018
115,VALLE DE JUÁREZ,3,0,0,0,0,0,3,2018
116,VILLA CORONA,8,0,0,0,0,0,8,2018
117,VILLA GUERRERO,1,0,0,0,1,0,0,2018
118,VILLA HIDALGO,14,0,0,0,0,0,14,2018
119,VILLA PURIFICACIÓN,6,0,0,0,0,0,6,2018
120,YAHUALICA DE GONZÁLEZ GALLO,6,1,2,1,2,0,0,2018
121,ZACOALCO DE TORRES,7,0,1,0,0,6,0,2018
122,ZAPOPAN,106,14,51,35,3,2,1,2018
123,ZAPOTILTIC,5,0,0,0,0,0,5,2018
124,ZAPOTITLÁN DE VADILLO,1,0,0,0,0,0,1,2018
125,ZAPOTLÁN DEL REY,2,2,0,0,0,0,0,2018
126,ZAPOTLÁN EL GRANDE,15,0,2,6,4,3,0,2018
127,ZAPOTLANEJO,9,0,1,7,1,0,0,2018
