,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
7,Municipio,2205,179,293,380,240,198,915,2019
9,ACATIC,4,0,0,1,0,1,2,2019
10,ACATLÁN DE JUÁREZ,1,0,0,1,0,0,0,2019
11,AHUALULCO DE MERCADO,9,1,3,0,0,0,5,2019
12,AMACUECA,1,0,0,0,0,0,1,2019
13,AMATITÁN,3,0,0,1,0,2,0,2019
14,AMECA,6,0,2,2,1,1,0,2019
15,ARANDAS,15,1,2,1,3,4,4,2019
17,ATENGO,1,0,0,0,0,0,1,2019
18,ATENGUILLO,9,0,0,0,1,0,8,2019
19,ATOTONILCO EL ALTO,9,0,1,2,0,0,6,2019
21,AUTLÁN DE NAVARRO,13,0,1,3,6,2,1,2019
22,AYOTLÁN,2,0,0,2,0,0,0,2019
23,AYUTLA,6,0,0,0,0,0,6,2019
25,CABO CORRIENTES,8,1,1,4,1,0,1,2019
26,CAÑADAS DE OBREGÓN,3,2,1,0,0,0,0,2019
27,CASIMIRO CASTILLO,2,0,0,1,1,0,0,2019
28,CHAPALA,50,6,16,8,14,5,1,2019
29,CHIMALTITÁN,2,0,1,0,1,0,0,2019
30,CHIQUILISTLÁN,2,0,0,0,0,0,2,2019
31,CIHUATLÁN,145,32,13,43,26,19,12,2019
32,COCULA,10,0,1,0,0,0,9,2019
33,COLOTLÁN,7,0,1,1,0,3,2,2019
34,CONCEPCIÓN DE BUENOS AIRES,5,5,0,0,0,0,0,2019
35,CUAUTITLÁN DE GARCÍA B.,2,0,0,0,0,2,0,2019
36,CUAUTLA,2,0,0,0,1,0,1,2019
37,CUQUÍO,2,0,2,0,0,0,0,2019
38,DEGOLLADO,2,0,1,1,0,0,0,2019
39,EL ARENAL,5,0,0,0,0,0,5,2019
40,EL GRULLO,6,0,1,2,1,1,1,2019
42,EL SALTO,13,0,4,1,0,0,8,2019
44,ETZATLÁN,10,1,0,0,0,0,9,2019
45,GÓMEZ FARÍAS,3,0,0,0,0,0,3,2019
46,GUACHINANGO,3,0,0,0,0,0,3,2019
47,GUADALAJARA,304,16,63,49,37,49,90,2019
48,HOSTOTIPAQUILLO,1,0,0,0,0,0,1,2019
49,HUEJÚCAR,3,0,0,0,0,3,0,2019
