,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
9,Bolaños,3,0,0,0,0,1,2,2014
10,Chimaltitán,1,0,0,0,0,0,1,2014
11,Colotlán,2,0,1,0,0,1,0,2014
12,Huejúcar,4,0,0,0,0,4,0,2014
13,Huejuquilla el Alto,4,0,0,2,0,0,2,2014
14,Mezquitic,4,0,1,0,1,0,2,2014
15,San Martín de Bolaños,2,0,0,0,0,1,1,2014
16,Totatiche,7,0,0,0,0,1,6,2014
17,Villa Guerrero,1,0,0,0,0,0,1,2014
19,Encarnación de Díaz,8,0,0,3,4,0,1,2014
20,Lagos de Moreno,30,2,2,6,4,1,15,2014
21,Ojuelos de Jalisco,7,0,0,0,0,1,6,2014
22,San Diego de Alejandría,6,0,0,0,0,2,4,2014
23,San Juan de los Lagos,106,4,10,21,20,34,17,2014
24,Teocaltiche,5,0,0,1,3,0,1,2014
25,Unión de San Antonio,3,0,0,1,0,2,0,2014
26,Villa Hidalgo,14,0,2,1,1,3,7,2014
28,Acatic,5,0,0,0,1,1,3,2014
29,Arandas,11,2,1,4,3,1,0,2014
30,Cañadas de Obregón,1,0,0,0,0,0,1,2014
31,Jalostotitlán,7,0,0,2,2,2,1,2014
32,Jesús María,3,0,0,0,0,0,3,2014
33,Mexticacán,1,0,0,0,0,1,0,2014
34,San Ignacio Cerro Gordo,2,0,0,0,2,0,0,2014
35,San Julián,2,1,1,0,0,0,0,2014
36,San Miguel el Alto,4,0,2,0,0,0,2,2014
37,Tepatitlán de Morelos,19,0,7,5,3,0,4,2014
38,Valle de Guadalupe,1,0,0,0,0,0,1,2014
39,Yahualica de González Gallo,5,0,0,1,1,2,1,2014
41,Atotonilco el Alto,7,1,1,0,2,0,3,2014
42,Ayotlán,6,0,0,3,2,0,1,2014
43,Chapala,52,2,13,9,8,7,13,2014
44,Degollado,2,0,0,0,0,2,0,2014
45,Jamay,5,0,0,0,1,1,3,2014
46,Jocotepec,22,4,3,4,1,2,8,2014
47,La Barca,34,0,4,8,2,8,12,2014
48,Ocotlán,20,0,3,5,0,3,9,2014
49,Poncitlán,4,0,0,0,0,3,1,2014
50,Tizapán el Alto,3,0,0,0,0,1,2,2014
51,Tototlán,3,0,0,0,0,1,2,2014
52,Tuxcueca,3,0,0,1,0,2,0,2014
53,Zapotlán del Rey,2,1,0,0,0,0,1,2014
55,Concepción de Buenos Aires,5,0,0,0,0,0,5,2014
56,La Manzanilla de la Paz,9,0,1,1,2,1,4,2014
57,Mazamitla,45,2,5,8,3,2,25,2014
58,Pihuamo,1,0,0,1,0,0,0,2014
59,Quitupan,1,0,0,1,0,0,0,2014
60,Santa María del Oro,3,0,0,1,0,1,1,2014
61,Tamazula de Gordiano,7,0,0,1,1,3,2,2014
62,Tecalitlán,3,0,0,0,0,2,1,2014
63,Valle de Juárez,1,0,0,1,0,0,0,2014
65,Amacueca,2,0,0,0,0,0,2,2014
66,Atemajac de Brizuela,3,0,0,0,0,0,3,2014
67,Atoyac,2,1,0,0,0,0,1,2014
68,Gómez Farías,2,0,0,0,1,0,1,2014
69,San Gabriel,2,0,0,0,1,0,1,2014
70,Sayula,8,2,2,1,1,1,1,2014
71,Tapalpa,59,5,8,10,1,1,34,2014
72,Tonila,1,0,0,1,0,0,0,2014
73,Tuxpan,4,0,0,1,1,1,1,2014
74,Zacoalco de Torres,5,0,0,0,0,2,3,2014
75,Zapotiltic,5,0,0,0,1,1,3,2014
76,Zapotitlán de Vadillo,1,0,0,0,0,0,1,2014
77,Zapotlán el Grande,15,3,2,5,4,0,1,2014
79,Atengo,2,0,0,0,0,0,2,2014
80,Chiquilistlán,2,0,0,0,0,0,2,2014
81,El Grullo,4,0,1,0,1,0,2,2014
82,El Limón,1,0,0,0,0,1,0,2014
83,Juchitlán,1,0,0,0,0,0,1,2014
84,Tecolotlán,5,0,0,0,0,3,2,2014
85,Tenamaxtlán,1,0,0,0,0,1,0,2014
86,Tonaya,1,0,0,0,0,0,1,2014
87,Unión de Tula,3,0,0,1,0,2,0,2014
89,Autlán de Navarro,7,0,0,3,1,1,2,2014
90,Casimiro Castillo,2,0,0,1,0,1,0,2014
91,Cihuatlán,129,0,9,29,24,25,42,2014
92,La Huerta,35,6,2,3,4,5,15,2014
93,Villa Purificación,3,0,0,0,1,1,1,2014
95,Cabo Corrientes,6,1,0,2,1,0,2,2014
96,Puerto Vallarta,292,26,30,28,12,11,185,2014
97,Tomatlán,8,1,1,0,1,0,5,2014
99,Atenguillo,1,0,0,0,0,1,0,2014
100,Ayutla,2,0,0,0,0,1,1,2014
101,Guachinango,2,0,0,0,0,0,2,2014
102,Mascota,22,2,5,9,1,0,5,2014
103,San Sebastián del Oeste,18,2,1,4,3,2,6,2014
104,Talpa de Allende,37,0,1,3,2,8,23,2014
106,Ahualulco de Mercado,5,1,1,0,0,1,2,2014
107,Amatitán,2,0,0,0,0,0,2,2014
108,Ameca,6,0,0,2,0,4,0,2014
109,Cocula,4,0,0,1,1,1,1,2014
110,El Arenal,3,0,0,0,0,0,3,2014
111,Etzatlán,5,0,1,1,0,1,2,2014
112,Hostotipaquillo,2,0,0,0,0,0,2,2014
113,Magdalena,5,0,0,0,0,4,1,2014
114,San Juanito de Escobedo,1,0,0,0,0,0,1,2014
115,San Marcos,1,0,0,0,0,0,1,2014
116,San Martín Hidalgo,2,0,0,0,0,1,1,2014
117,Tala,4,0,0,2,0,1,1,2014
118,Tequila,22,2,6,4,4,1,5,2014
119,Teuchitlán,4,0,2,0,0,1,1,2014
121,Cuquío,4,0,0,2,2,0,0,2014
122,El Salto,2,0,1,0,0,0,1,2014
123,Guadalajara,230,23,43,43,10,39,72,2014
124,Ixtlahuacán de los Membrillos,1,0,1,0,0,0,0,2014
125,Ixtlahuacán del Río,0,0,0,0,0,0,1,2014
126,San Cristóbal de la Barranca,2,1,0,0,0,0,1,2014
127,San Pedro Tlaquepaque,36,2,9,5,0,2,17,2014
128,Tlajomulco de Zúñiga,7,1,1,1,0,0,4,2014
129,Tonalá,11,0,0,6,0,3,2,2014
130,Villa Corona,10,0,0,0,0,2,8,2014
131,Zapopan,70,8,19,11,2,1,29,2014
132,Zapotlanejo,7,0,1,3,0,2,1,2014
