,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
10,Bolaños,3,0,0,1,1,1,0,2016
11,Chimaltitán,2,0,0,0,1,0,1,2016
12,Colotlán,6,0,1,1,0,3,1,2016
13,Huejúcar,3,0,0,0,0,3,0,2016
14,Huejuquilla el Alto,3,0,0,2,1,0,0,2016
15,Mezquitic,4,0,1,0,2,0,1,2016
16,San Martín de Bolaños,2,0,0,0,1,1,0,2016
17,Totatiche,7,0,0,0,6,1,0,2016
18,Villa Guerrero,1,0,0,0,1,0,0,2016
20,Encarnación de Díaz,6,0,4,1,1,0,0,2016
21,Lagos de Moreno,29,4,3,3,3,0,16,2016
22,Ojuelos de Jalisco,7,0,0,0,0,0,7,2016
23,San Diego de Alejandría,4,0,0,1,0,0,3,2016
24,San Juan de los Lagos,113,18,10,21,23,37,4,2016
25,Teocaltiche,5,0,2,0,3,0,0,2016
26,Unión de San Antonio,2,0,0,0,0,0,2,2016
27,Villa Hidalgo,14,0,0,0,0,0,14,2016
29,Acatic,4,0,0,1,0,1,2,2016
30,Arandas,11,1,2,1,3,4,0,2016
31,Cañadas de Obregón,3,0,0,0,0,0,3,2016
32,Jalostotitlán,7,1,2,3,0,1,0,2016
33,Jesús María,1,0,0,0,0,0,1,2016
34,Mexticacán,1,0,0,0,0,0,1,2016
35,San Ignacio Cerro Gordo,3,0,0,0,0,0,3,2016
36,San Julián,3,0,1,2,0,0,0,2016
37,San Miguel el Alto,5,0,2,1,0,2,0,2016
38,Tepatitlán de Morelos,13,1,5,3,0,0,4,2016
39,Valle de Guadalupe,2,0,0,0,0,0,2,2016
40,Yahualica de González Gallo,6,1,2,1,2,0,0,2016
42,Atotonilco el Alto,7,0,1,2,0,0,4,2016
43,Ayotlán,2,0,0,2,0,0,0,2016
44,Chapala,49,5,15,8,13,5,3,2016
45,Degollado,2,0,1,1,0,0,0,2016
46,Jamay,5,0,0,0,1,2,2,2016
47,Jocotepec,21,5,3,4,1,4,4,2016
48,La Barca,14,0,0,6,2,4,2,2016
49,Ocotlán,20,0,3,2,0,5,10,2016
50,Poncitlán,7,0,0,1,0,4,2,2016
51,Tizapán el Alto,2,0,0,0,0,1,1,2016
52,Tototlán,2,0,0,0,0,0,2,2016
53,Tuxcueca,2,0,0,0,0,2,0,2016
54,Zapotlán del Rey,2,2,0,0,0,0,0,2016
56,Concepción de Buenos Aires,5,0,0,0,0,0,5,2016
57,Jilotlan de los Dolores ,1,0,0,0,0,0,1,2016
58,La Manzanilla de la Paz,8,0,0,0,0,0,8,2016
59,Mazamitla,62,3,10,11,1,0,37,2016
60,Pihuamo,2,0,0,0,0,0,2,2016
61,Quitupan,1,0,0,0,0,0,1,2016
62,Santa María del Oro,1,0,0,0,0,0,1,2016
63,Tamazula de Gordiano,4,0,0,0,0,0,4,2016
